id,sender_id,receiver_id,amount,start_time,end_time,mpp,is_success,no_balance_count,offline_node_count,timeout_exp,attempts,route,total_fee
0,3351,2285,100817,2389,3187,0,1,0,0,0,1,28961-23574-23635-18704,0
1,3179,5153,99358,3809,4404,0,1,0,0,0,1,27705-726-50808,0
2,1946,1876,99761,5361,6149,0,1,1,0,0,2,14900-6665-14282,0
3,4055,5342,100826,6843,7243,0,1,0,0,0,1,37570-52931,0
4,1072,976,99837,9333,9927,0,1,0,0,0,1,6605-6542-5557,0
5,1089,4456,99096,9675,10071,0,1,0,0,0,1,6783-43554,0
6,3192,3728,100024,9976,10769,0,1,0,0,0,1,27775-12396-14995-32859,0
7,5854,972,101765,10701,11498,0,1,0,0,0,1,58324-47888-15231-5531,0
8,4198,2703,100866,13841,15037,0,1,1,0,0,2,39033-23961-52732-22791,0
9,216,3277,99293,13920,14515,0,1,0,0,0,1,28201-387-28507,0
10,5879,3064,99119,14049,14648,0,1,0,0,0,1,58844-34141-26538,0
11,668,3894,100432,14207,14603,0,1,0,0,0,1,3435-35317,0
12,604,1640,99151,15524,16121,0,1,0,0,0,1,9484-13675-24738,0
13,5090,5389,98196,15647,16446,0,1,0,0,0,1,50306-56981-56992-53478,0
14,5611,1298,98907,17050,17646,0,1,0,0,0,1,55357-42660-20614,0
15,2857,2217,99321,21078,21677,0,1,0,0,0,1,57313-8138-17903,0
16,2347,296,98037,23160,23953,0,1,1,0,0,2,48967-41104-975,0
17,5158,722,99931,24425,25024,0,1,0,0,0,1,52300-3625-3800,0
18,5755,692,99669,28783,29178,0,1,0,0,0,1,57277-4302,0
19,5084,814,100940,31601,32202,0,1,0,0,0,1,50281-44690-43769,0
20,3848,3554,100786,31859,32455,0,1,0,0,0,1,34371-34373-30944,0
21,5478,4408,101224,32751,33544,0,1,0,0,0,1,54068-52992-20148-51193,0
22,5753,509,100274,34346,34944,0,1,0,0,0,1,57441-27043-2516,0
23,9,1316,100186,38315,38912,0,1,0,0,0,1,16-8210-8199,0
24,5718,2952,98620,38966,39763,0,1,0,0,0,1,56801-57521-60036-25610,0
25,2950,5007,101617,40766,41566,0,1,0,0,0,1,25553-30506-49356-49590,0
26,2432,4159,100716,41154,41757,0,1,0,0,0,1,19947-1237-38622,0
27,1610,1669,100548,41829,42426,0,1,0,0,0,1,11809-4568-12189,0
28,1713,3327,100292,43640,44439,0,0,2,0,0,3,23076-49255-56293-28830,0
29,5288,2604,98455,45359,46156,0,1,0,0,0,1,52281-44168-18667-21917,0
30,3720,3620,99635,47286,48082,0,1,0,0,0,1,62053-62044-21620-31805,0
31,2415,3455,101064,47424,48417,0,1,1,0,0,2,19999-20029-30184,0
32,4753,447,99900,49417,50015,0,1,0,0,0,1,47496-3938-2172,0
33,3793,4462,100192,49550,50149,0,1,0,0,0,1,41081-42184-43043,0
34,3726,114,98728,49684,49883,0,0,1,0,0,2,33517-280,0
35,4621,2220,101415,50822,51620,0,1,0,0,0,1,45709-52756-1108-17913,0
36,1291,2374,101096,52587,53187,0,1,0,0,0,1,8052-6813-19500,0
37,5963,1207,100062,53344,53942,0,1,0,0,0,1,60180-33092-7519,0
38,1125,1735,99883,55480,56074,0,1,0,0,0,1,15810-1234-12629,0
39,4342,5837,101427,55911,56506,0,1,0,0,0,1,41324-42661-58222,0
40,2789,551,100605,56642,57435,0,1,0,0,0,1,23823-55400-59821-2698,0
41,5546,3745,99762,57389,57991,0,1,0,0,0,1,54702-60628-32992,0
42,5267,1074,99412,57484,58680,0,1,1,0,0,2,51969-45092-22806-6784,0
43,276,2051,99119,57906,58304,0,1,0,0,0,1,53060-51531,0
44,2824,4207,99464,57910,58509,0,1,0,0,0,1,24169-18308-39143,0
45,1306,2689,100078,60059,60457,0,1,0,0,0,1,8147-25407,0
46,3745,2843,100450,60129,60727,0,1,0,0,0,1,52409-3050-31730,0
47,2372,4081,98525,60742,61338,0,1,0,0,0,1,28938-47678-37547,0
48,2232,2607,99850,61446,62241,0,1,0,0,0,1,18129-4106-4083-21939,0
49,1962,3307,99428,63197,63793,0,1,0,0,0,1,24461-23575-28768,0
50,1036,4577,99968,63275,63879,0,1,0,0,0,1,6245-8898-45072,0
51,2946,27,99809,64458,65058,0,1,0,0,0,1,54533-55898-3415,0
52,3524,1275,102283,66114,66709,0,1,0,0,0,1,30632-45787-7872,0
53,5874,2911,99449,66793,67387,0,1,0,0,0,1,59059-39830-25405,0
54,3775,900,101615,67883,68479,0,1,0,0,0,1,41029-52668-5089,0
55,94,1576,99610,68352,68750,0,1,0,0,0,1,3016-11456,0
56,559,3490,99659,69882,70482,0,1,0,0,0,1,2738-5700-30323,0
57,5195,2781,99677,70754,71354,0,1,0,0,0,1,62185-62178-23744,0
58,3753,6040,100622,72016,72613,0,1,0,0,0,1,58779-59432-61611,0
59,2743,4403,100220,72771,73371,0,1,0,0,0,1,23371-23429-53286,0
60,5491,5052,99356,73003,73801,0,1,0,0,0,1,54171-60168-26643-50166,0
61,5781,144,99278,73776,74575,0,1,0,0,0,1,57577-62577-62592-404,0
62,1204,1666,99532,74151,74753,0,1,0,0,0,1,7593-8862-12245,0
63,3483,4922,98061,74705,75498,0,1,0,0,0,1,30356-1053-58441-49418,0
64,4373,1220,100489,75630,76427,0,1,0,0,0,1,41623-10740-729-7584,0
65,4529,4608,100832,75817,76216,0,1,0,0,0,1,46947-45652,0
66,2793,395,100503,76737,77337,0,1,0,0,0,1,24543-21476-1844,0
67,3158,291,99049,77233,77630,0,0,1,0,0,2,27529-330-960,0
68,5038,3500,101552,79835,80432,0,1,0,0,0,1,58743-31837-30486,0
69,343,1860,99719,79912,80306,0,1,0,0,0,1,1220-14145,0
70,257,105,99892,79951,80550,0,1,0,0,0,1,836-57971-20261,0
71,1988,5414,99134,81349,82542,0,1,1,0,0,2,49668-55551-60570-53551,0
72,1462,5101,101556,81651,82250,0,1,0,0,0,1,9393-24149-50384,0
73,5006,4422,101715,83045,83845,0,1,0,0,0,1,49588-58440-56760-42403,0
74,5436,4402,99816,83331,84123,0,1,0,0,0,1,53716-41296-727-41976,0
75,4112,4729,99092,84413,85011,0,1,0,0,0,1,42334-3051-47218,0
76,5471,5420,100572,84650,85247,0,1,0,0,0,1,53992-53502-53565,0
77,644,401,99883,85668,86661,0,1,1,0,0,2,3285-24322-1878,0
78,5623,5187,100407,88047,88643,0,1,0,0,0,1,59178-59019-51126,0
79,3116,5238,100735,88656,89450,0,1,0,0,0,1,27105-40394-41481-51619,0
80,1553,821,101560,88686,89282,0,1,0,0,0,1,11302-3885-4536,0
81,4232,1926,99906,88722,89317,0,1,0,0,0,1,39520-48745-49168,0
82,2305,3055,100662,89682,90477,0,1,0,0,0,1,18889-51471-42909-26828,0
83,6093,751,99862,90836,91434,0,1,0,0,0,1,62656-14146-4130,0
84,2464,2901,99897,90952,91549,0,1,0,0,0,1,20308-9744-24915,0
85,728,3710,99214,91474,91874,0,1,0,0,0,1,4643-32770,0
86,951,2905,100185,91928,92524,0,1,0,0,0,1,5382-909-28693,0
87,5270,3949,99921,95237,95838,0,1,0,0,0,1,51979-41468-41808,0
88,4093,2515,100361,96371,96971,0,1,0,0,0,1,37765-39874-48795,0
89,971,339,98442,97211,97806,0,1,0,0,0,1,44917-18738-1198,0
90,2813,205,99116,98080,98877,0,1,0,0,0,1,23989-24000-52729-640,0
