id,edge1,edge2,node1,node2,capacity,is_closed,is_unbalanced,unbalancing_time
0,0,1,0,9,17889778,0,1,15927891
1,2,3,0,10,17628987,0,1,3408339
2,4,5,0,14,16388712,0,1,6017443
3,6,7,0,20,18329310,0,1,17351938
4,8,9,0,21,21681607,0,1,6764870
5,10,11,0,27,18057043,0,1,4684464
6,12,13,0,36,18935677,0,1,3378363
7,14,15,0,57,16422523,0,1,6809986
8,16,17,0,72,17150858,0,1,12288571
9,18,19,0,73,19452488,0,1,4169222
10,20,21,0,92,16784919,0,1,5068266
11,22,23,1,3,15148793,0,1,4190940
12,24,25,1,15,18844519,0,1,12938620
13,26,27,1,26,18008615,0,1,3905086
14,28,29,1,27,19724521,0,1,8527315
15,30,31,1,28,19468282,0,1,2071861
16,32,33,1,34,18549138,0,1,25367027
17,34,35,1,43,19966646,0,1,3518217
18,36,37,1,53,16296407,0,1,15259341
19,38,39,1,54,15755214,0,1,3866954
20,40,41,1,71,19018628,0,1,9044519
21,42,43,1,82,14330187,0,1,30977308
22,44,45,1,84,18290747,0,1,4324540
23,46,47,2,9,18025247,0,1,9286741
24,48,49,2,26,19493778,0,0,0
25,50,51,2,43,15987044,0,1,8992218
26,52,53,2,44,19395855,0,1,13671901
27,54,55,2,54,17343004,0,1,2115629
28,56,57,2,63,20867489,0,1,22552537
29,58,59,2,65,17870231,0,1,2230445
30,60,61,2,68,14521184,0,1,9368865
31,62,63,2,86,17733486,0,1,3698579
32,64,65,2,87,16137428,0,1,12936668
33,66,67,2,93,19677105,0,1,4941638
34,68,69,3,12,20655201,0,1,3325415
35,70,71,3,31,19038918,0,1,18473724
36,72,73,3,33,15373044,0,1,7904058
37,74,75,3,35,18435401,0,1,4911937
38,76,77,3,36,18609711,0,1,3991952
39,78,79,3,45,16091883,0,1,4624779
40,80,81,3,59,19111780,0,1,7780553
41,82,83,3,73,18867459,0,1,16452196
42,84,85,3,83,19079158,0,0,0
43,86,87,3,87,19824610,0,1,5936307
44,88,89,3,97,18841527,0,1,11041032
45,90,91,4,19,15965037,0,1,15079794
46,92,93,4,20,16315779,0,1,3789098
47,94,95,4,42,19176718,0,1,14458135
48,96,97,4,49,19302808,0,1,10731628
49,98,99,4,79,17473893,0,1,2782018
50,100,101,4,82,18332128,0,1,12919729
51,102,103,5,24,20199867,0,1,13680151
52,104,105,5,35,18704522,0,1,21942531
53,106,107,5,52,18137672,0,1,4867858
54,108,109,5,84,17863188,0,1,8597539
55,110,111,5,90,18513982,0,1,4868455
56,112,113,6,8,12727261,0,1,1665127
57,114,115,6,30,21269198,0,1,29396575
58,116,117,6,59,15348831,0,1,9398624
59,118,119,6,61,19390112,0,1,6034710
60,120,121,6,65,17653320,0,1,10322761
61,122,123,6,74,20380525,0,1,3901146
62,124,125,6,89,18127187,0,1,4281709
63,126,127,7,9,17748585,0,1,3058027
64,128,129,7,12,18532289,0,1,12778397
65,130,131,7,18,17888265,0,1,4042911
66,132,133,7,19,18845439,0,1,9804684
67,134,135,7,21,17577200,0,1,3153498
68,136,137,7,24,15012815,0,1,1304119
