id,edge1,edge2,node1,node2,capacity,is_closed,is_unbalanced,unbalancing_time
0,0,1,0,1,17507568,0,0,0
1,2,3,0,2,21156254,0,0,0
2,4,5,0,6,18300682,0,0,0
3,6,7,0,17,19639647,0,0,0
4,8,9,0,20,18971204,0,0,0
5,10,11,0,28,16011630,0,0,0
6,12,13,0,31,17794213,0,0,0
7,14,15,0,52,16972631,0,0,0
8,16,17,0,72,16408585,0,0,0
9,18,19,0,77,17145036,0,0,0
10,20,21,0,88,22160803,0,0,0
11,22,23,0,95,17955568,0,0,0
12,24,25,1,16,20499864,0,0,0
13,26,27,1,19,18666313,0,0,0
14,28,29,1,21,18865411,0,0,0
15,30,31,1,56,16724240,0,0,0
16,32,33,1,68,18951762,0,0,0
17,34,35,1,69,20267335,0,0,0
18,36,37,1,81,19321743,0,0,0
19,38,39,1,86,15901898,0,0,0
20,40,41,2,14,19057275,0,0,0
21,42,43,2,18,16189948,0,0,0
22,44,45,2,20,18441653,0,0,0
23,46,47,2,22,17289393,0,0,0
24,48,49,2,23,15537282,0,0,0
25,50,51,2,36,18146735,0,0,0
26,52,53,2,50,17244286,0,0,0
27,54,55,2,64,19041467,0,0,0
28,56,57,2,81,20243695,0,0,0
29,58,59,2,84,15717276,0,0,0
30,60,61,2,98,19851418,0,0,0
31,62,63,3,8,20284446,0,0,0
32,64,65,3,20,19070889,0,0,0
33,66,67,3,21,20145240,0,0,0
34,68,69,3,27,17544901,0,0,0
35,70,71,3,32,17366590,0,0,0
36,72,73,3,37,19446515,0,0,0
37,74,75,3,65,20620572,0,0,0
38,76,77,3,66,21785858,0,0,0
39,78,79,3,69,18802428,0,0,0
40,80,81,3,81,19538430,0,0,0
41,82,83,3,84,19971812,0,0,0
42,84,85,3,98,17680838,0,0,0
43,86,87,4,11,22016547,0,0,0
44,88,89,4,18,16439725,0,0,0
45,90,91,4,19,18525774,0,0,0
46,92,93,4,35,22419782,0,0,0
47,94,95,4,45,17974781,0,0,0
48,96,97,4,48,19091832,0,0,0
49,98,99,4,51,17740976,0,0,0
50,100,101,4,54,17227783,0,0,0
51,102,103,4,76,20402792,0,0,0
52,104,105,4,81,17796122,0,0,0
53,106,107,4,92,16952855,0,0,0
54,108,109,4,94,16284538,0,0,0
55,110,111,4,95,17009995,0,0,0
56,112,113,4,98,21740818,0,0,0
57,114,115,4,99,15645783,0,0,0
58,116,117,5,7,17816220,0,0,0
59,118,119,5,9,18848230,0,0,0
60,120,121,5,20,17454860,0,0,0
61,122,123,5,23,19559762,0,0,0
62,124,125,5,32,18301617,0,0,0
63,126,127,5,50,15101852,0,0,0
64,128,129,5,58,15378819,0,0,0
65,130,131,5,61,19233807,0,0,0
66,132,133,5,65,17887128,0,0,0
67,134,135,5,84,19472220,0,0,0
68,136,137,5,93,17084165,0,0,0
69,138,139,6,12,16930121,0,0,0
70,140,141,6,18,16227432,0,0,0
71,142,143,6,19,18599904,0,0,0
72,144,145,6,28,18370047,0,0,0
73,146,147,6,51,18199592,0,0,0
74,148,149,6,54,15138993,0,0,0
75,150,151,6,71,17220803,0,0,0
76,152,153,6,89,17192706,0,0,0
77,154,155,6,98,13821318,0,0,0
78,156,157,7,18,16453624,0,0,0
79,158,159,7,31,16860878,0,0,0
80,160,161,7,32,16414621,0,0,0
81,162,163,7,34,20990813,0,0,0
82,164,165,7,36,17360256,0,0,0
83,166,167,7,37,15998515,0,0,0
84,168,169,7,43,17762300,0,0,0
85,170,171,7,44,18767360,0,0,0
86,172,173,7,60,19797556,0,0,0
87,174,175,7,79,18474297,0,0,0
88,176,177,7,83,18012809,0,0,0
89,178,179,7,85,17849963,0,0,0
90,180,181,7,99,20095458,0,0,0
91,182,183,8,17,20216527,0,0,0
92,184,185,8,32,16862984,0,0,0
93,186,187,8,34,17290324,0,0,0
94,188,189,8,37,20976931,0,0,0
95,190,191,8,55,17643338,0,0,0
96,192,193,8,63,18664264,0,0,0
97,194,195,8,77,17152115,0,0,0
98,196,197,8,80,17996979,0,0,0
99,198,199,8,87,17440620,0,0,0
100,200,201,8,88,18848974,0,0,0
101,202,203,8,94,21525632,0,0,0
102,204,205,9,10,19808227,0,0,0
103,206,207,9,15,23500452,0,0,0
