id,open_edges
0,0-2-4-6-8-10-12-14-16-18-20-22
1,1-24-26-28-30-32-34-36-38
2,3-40-42-44-46-48-50-52-54-56-58-60
3,62-64-66-68-70-72-74-76-78-80-82-84
4,86-88-90-92-94-96-98-100-102-104-106-108-110-112-114
5,116-118-120-122-124-126-128-130-132-134-136
6,5-138-140-142-144-146-148-150-152-154
7,117-156-158-160-162-164-166-168-170-172-174-176-178-180
8,63-182-184-186-188-190-192-194-196-198-200-202
9,119-204-206-208-210-212-214-216-218
10,205-220-222-224-226-228-230-232
11,87-234-236-238-240-242-244-246-248-250
12,139-252-254-256-258-260-262-264-266-268-270-272
13,274-276-278-280-282-284
14,41-286-288-290-292-294-296
15,207-298-300-302-304-306-308-310-312-314-316-318-320
16,25-253-322-324-326-328-330-332
17,7-183-221-334-336-338-340-342-344-346
18,43-89-141-157-235-348-350-352-354-356-358-360-362-364-366-368-370
19,27-91-143-209-372-374-376-378-380-382-384-386
20,9-45-65-121-349-388-390-392-394-396-398-400-402-404
21,29-67-406-408-410-412-414-416-418-420
22,47-237-351-422-424-426-428-430-432-434-436-438
23,49-123-389-423-440-442-444-446-448-450
24,452-454-456-458-460-462
25,335-464-466-468-470
26,472-474-476-478-480-482-484-486-488
27,69-299-323-353-425-441-490-492-494-496-498-500-502-504-506
28,11-145-407-443-508-510-512
29,427-473-514-516-518-520-522-524-526-528
30,337-355-530-532-534-536-538
31,13-159-357-453-540-542-544-546-548-550
32,71-125-161-185-391-509-552-554-556-558-560-562-564-566-568-570-572-574
33,275-301-373-393-576-578-580-582-584-586
34,163-187-588-590-592-594-596-598-600-602-604
35,93-239-541-606-608-610-612-614-616-618-620
36,51-165-223-255-359-511-515-531-553-622-624-626-628-630-632
37,73-167-189-339-491-589-634-636-638-640-642-644
38,287-646-648-650-652-654-656
39,555-607-658-660-662-664-666-668-670-672-674
40,211-257-429-676-678-680-682-684-686-688-690
41,692-694
42,213-375-517-677-696-698-700-702-704-706
43,169-215-225-609-708-710
44,171-395-455-591-647-712-714-716-718
45,95-303-409-543-697-720-722-724-726-728-730-732
46,305-659-734-736-738-740
47,465-593-649-742-744-746-748-750
48,97-557-577-752-754-756-758-760
49,651-762-764
50,53-127-259-341-467-623-653-766-768-770-772-774-776-778-780
51,99-147-307-431-559-661-782-784-786-788
52,15-227-289-343-361-475-533-561-595-790-792-794-796-798-800
53,241-397-663-721-767-802-804
54,101-149-377-665-723-806-808
55,191-679-769-810-812-814-816
56,31-243-325-445-579-611-635-803
57,245-411-699-771-783-818-820
58,129-309-345-363-457-693-725-763-822-824-826-828-830-832
59,399-469-477-753-773-834-836-838-840-842-844
60,173-229-563-823-846-848-850
61,131-379-413-479-637-713-755-819-852-854-856-858-860
62,311-493-519-667-701-862-864-866
63,193-327-365-481-835-868-870-872
64,55-597-811-853-863
65,75-133-401-565-625-669-727-874-876-878
66,77-291-495-627-639-655-681-729-791-837-880
67,629-671-743-839-882-884
68,33-313-545-683-775-807-813-886-888-890-892
69,35-79-217-261-381-459-894
70,403-685-715-815-896-898-900-902
71,151-367-415-703-841-904
72,17-293-461-535-581-631-906
73,263-277-315-417-521-709-735-777-825-895-908-910-912
74,523-827-887-914-916-918
75,497-537-567-687-920
76,103-247-329-785-793-855-905-909-922-924-926-928
77,19-195-525-613-847-883-930-932
78,539-569-599-737-795-829-875-934-936
79,175-265-433-483-499-547-911-938-940-942
80,197-219-267-601-705-739-857-921-944-946
81,37-57-81-105-317-463-641-897-939-948-950-952
82,279-331-501-549-615-673-757-831-954-956-958-960-962-964
83,177-269-797-805-869-877-889-923-941-966-968
84,59-83-135-383-503-711-779-871-899-949-970-972-974-976
85,179-249-617-901-915-971-978-980
86,39-231-281-419-643-689-717-745-759-917-935-955-973
87,199-435-551-583-619-731-781-787-833-979-982
88,21-201-437-447-505-527-571-657-695-719-799-843-925-984-986
89,153-603-761-885-891-913-951-957-967-975-988
90,319-369-385-485-747-817-865-931
91,233-321-387-749-859-881-933-985-990-992
92,107-371-487-707-751-801-845-919-977-987-989-994-996
93,137-449-471-507-573-621-645-733-809-893-927-959
94,109-203-271-585-605-765-849-945-969-983
95,23-111-333-741-789-879-961-991-995
96,251-283-295-451-633-675-937-963-998
97,273-347-421-439-513-575-929-943-981-997
98,61-85-113-155-285-405-529-821-861-867-873-907-993-999
99,115-181-297-489-587-691-851-903-947-953-965
