id,edge1,edge2,node1,node2,capacity,is_closed,is_unbalanced,unbalancing_time
0,0,1,0,15,19757060,0,1,17404420
1,2,3,0,19,19900236,0,1,19549977
2,4,5,0,31,17049006,0,1,5774293
3,6,7,0,35,17069382,0,1,22659242
4,8,9,0,39,19198690,0,1,16390201
5,10,11,0,44,18014701,0,1,8523047
6,12,13,0,46,14752844,0,1,3530992
7,14,15,0,54,18430423,0,1,20059946
8,16,17,0,92,15836189,0,1,7356947
9,18,19,0,95,20535640,0,1,22781115
10,20,21,1,15,18973889,0,1,11430753
11,22,23,1,28,16215873,0,1,6280415
12,24,25,1,30,18005268,0,1,25588415
13,26,27,1,50,16763812,0,1,7978093
14,28,29,1,55,20054190,0,1,10026934
15,30,31,1,60,15004949,0,1,46180883
16,32,33,1,63,17970648,0,1,2491523
17,34,35,1,77,21535138,0,1,6123605
18,36,37,1,83,16078381,0,1,11455405
19,38,39,1,91,19100857,0,1,5656417
20,40,41,2,3,18614192,0,1,6436206
21,42,43,2,7,17570690,0,1,15636107
22,44,45,2,14,17719123,0,1,7726649
23,46,47,2,16,14783786,0,1,15260242
24,48,49,2,32,18444537,0,1,12897485
25,50,51,2,45,17079780,0,1,11492311
26,52,53,2,54,20446587,0,1,6130631
27,54,55,2,67,16285952,0,1,6154520
28,56,57,2,70,21730982,0,1,29173614
29,58,59,2,72,18091129,0,1,10446779
30,60,61,3,11,16922279,0,1,6133340
31,62,63,3,35,18780025,0,1,5365767
32,64,65,3,50,17767807,0,1,2140773
33,66,67,3,52,20663810,0,1,25216476
34,68,69,3,57,17518067,0,1,4217782
35,70,71,3,61,17964374,0,1,8421279
36,72,73,3,78,17661250,0,1,3069975
37,74,75,3,80,18015832,0,1,23849472
38,76,77,3,89,17181784,0,1,6389311
39,78,79,4,16,18730981,0,1,4953802
40,80,81,4,18,17555984,0,1,4001698
41,82,83,4,32,19155334,0,1,7030004
42,84,85,4,42,18956099,0,1,3909265
43,86,87,4,55,20905184,0,0,0
44,88,89,4,61,14786766,0,1,35573646
45,90,91,4,67,18886737,0,1,17625441
46,92,93,4,68,20069574,0,1,8557262
47,94,95,4,71,19624471,0,1,45545279
48,96,97,4,74,17767957,0,1,12272254
49,98,99,4,80,16360517,0,1,18497405
50,100,101,4,90,18219224,0,1,3353507
51,102,103,5,31,17877051,0,1,870968
52,104,105,5,58,17985724,0,1,9643797
53,106,107,5,59,14848472,0,1,7048687
54,108,109,5,81,14991541,0,1,6682588
55,110,111,5,93,17418407,0,1,5363416
56,112,113,5,96,17444126,0,1,1674408
57,114,115,6,15,15893369,0,1,8490175
58,116,117,6,16,16568989,0,1,19660380
59,118,119,6,23,18043026,0,1,10558191
60,120,121,6,31,17868431,0,1,20864713
61,122,123,6,44,20076754,0,1,8513834
62,124,125,6,45,15544568,0,1,7113327
63,126,127,6,55,15173960,0,1,3182567
64,128,129,6,73,19405684,0,1,4108295
65,130,131,6,77,19694419,0,1,11205857
66,132,133,6,90,17268876,0,1,2423862
67,134,135,7,15,18179251,0,1,11512320
68,136,137,7,24,17255409,0,1,16929361
69,138,139,7,35,16327532,0,1,6683662
70,140,141,7,41,18127412,0,1,8560091
71,142,143,7,44,18393253,0,1,26450345
72,144,145,7,54,17049992,0,1,15035965
73,146,147,7,55,17339021,0,1,9610322
74,148,149,7,69,20520986,0,1,11850544
75,150,151,7,77,17660785,0,1,32123846
76,152,153,7,91,16861365,0,1,2545148
77,154,155,8,10,18033206,0,1,36455941
78,156,157,8,34,17188000,0,1,7437139
79,158,159,8,63,17420004,0,1,6357361
80,160,161,8,68,16835162,0,1,11078980
81,162,163,8,73,18886695,0,1,5504613
82,164,165,8,74,18057363,0,1,30139524
83,166,167,8,80,16838003,0,1,7300674
84,168,169,8,87,18995587,0,1,42627971
85,170,171,9,12,18991355,0,1,4702586
86,172,173,9,18,18956650,0,1,17280372
87,174,175,9,23,19686949,0,1,4718581
88,176,177,9,39,21541811,0,1,12611774
89,178,179,9,46,19218891,0,0,0
90,180,181,9,49,17509866,0,1,3449775
91,182,183,9,63,15626734,0,1,3685485
92,184,185,9,79,18624779,0,1,4477739
93,186,187,9,81,17325902,0,1,6604698
94,188,189,10,12,19736353,0,1,7122530
95,190,191,10,22,17970364,0,1,7124622
96,192,193,10,33,17221877,0,1,18665374
97,194,195,10,36,18272419,0,1,16121969
98,196,197,10,38,17035348,0,1,2689348
99,198,199,10,42,17919096,0,1,13488504
100,200,201,10,51,18413611,0,0,0
101,202,203,10,61,21472998,0,1,23877314
102,204,205,10,65,19398612,0,1,5774597
103,206,207,10,78,17388407,0,1,5413647
104,208,209,10,81,18438119,0,1,4855271
105,210,211,10,98,17301789,0,1,4799603
106,212,213,11,20,14912011,0,1,24996887
107,214,215,11,26,19517457,0,1,7178060
108,216,217,11,57,20812953,0,1,45650420
109,218,219,11,64,15540096,0,1,3207848
110,220,221,11,69,16442267,0,1,27116693
111,222,223,11,78,17134340,0,1,2630722
112,224,225,11,90,16463304,0,1,31856702
113,226,227,11,91,17356769,0,1,11004239
114,228,229,11,96,18389373,0,1,7566355
115,230,231,11,97,14214419,0,1,6281130
116,232,233,12,13,14751311,0,1,6072382
117,234,235,12,17,17213864,0,1,3687162
118,236,237,12,25,16419426,0,1,6311973
119,238,239,12,43,16565945,0,1,3227153
120,240,241,12,48,20344895,0,1,18394201
121,242,243,12,53,17046851,0,1,8579623
122,244,245,12,55,14458588,0,1,16549284
123,246,247,12,56,17558523,0,1,12202253
124,248,249,12,58,18577749,0,1,45373673
125,250,251,12,80,18731886,0,1,10048064
126,252,253,12,90,19531916,0,1,4230947
127,254,255,13,18,18378842,0,1,26752444
128,256,257,13,19,19255910,0,1,8408666
129,258,259,13,39,17452050,0,1,9150898
130,260,261,13,41,15025263,0,1,12522041
131,262,263,13,48,19503603,0,1,6589696
132,264,265,13,58,18723598,0,1,3257461
133,266,267,13,62,16682743,0,1,7053272
134,268,269,13,71,17590562,0,1,2270709
135,270,271,13,80,16815508,0,1,18563890
136,272,273,13,81,19658017,0,1,9167299
137,274,275,14,16,19118592,0,1,42770666
138,276,277,14,22,20272559,0,1,28088345
139,278,279,14,31,18279507,0,1,31415019
140,280,281,14,32,18252519,0,1,8076368
141,282,283,14,42,17885935,0,1,3879504
142,284,285,14,44,20433508,0,1,12378387
143,286,287,14,55,18560917,0,1,14190519
144,288,289,14,70,16403219,0,1,4290383
145,290,291,14,89,16687397,0,1,6645552
146,292,293,15,27,18116715,0,1,25188177
147,294,295,15,31,18262341,0,1,3136492
148,296,297,15,46,16644660,0,1,2318859
149,298,299,15,60,18272688,0,1,1732185
150,300,301,15,75,17928394,0,1,24423690
151,302,303,15,86,19062683,0,1,20467302
152,304,305,15,95,18083163,0,1,20660192
153,306,307,16,20,20446775,0,1,49340899
154,308,309,16,24,15069525,0,1,7512656
155,310,311,16,50,21150646,0,1,3516512
156,312,313,16,67,20667333,0,1,6553339
157,314,315,16,72,19334233,0,1,17714595
158,316,317,16,79,21683656,0,1,12888392
159,318,319,16,89,15989554,0,1,5933490
160,320,321,16,91,15285042,0,1,28518300
161,322,323,16,97,15528600,0,1,16487508
162,324,325,17,18,19942663,0,1,5757791
163,326,327,17,42,15703178,0,1,21399771
164,328,329,17,65,17435191,0,1,26701598
165,330,331,17,71,17606589,0,1,37287619
166,332,333,18,21,16914027,0,1,4211191
167,334,335,18,23,16908916,0,1,9812561
168,336,337,18,31,18917759,0,1,10752089
169,338,339,18,32,17967816,0,1,10136807
170,340,341,18,46,19219513,0,1,3553385
171,342,343,18,50,16245711,0,1,18555756
172,344,345,18,58,20857719,0,0,0
173,346,347,18,79,20720625,0,1,5398173
174,348,349,18,82,17449868,0,1,6883984
175,350,351,18,96,17357757,0,1,8463476
176,352,353,19,33,15141555,0,1,4416648
177,354,355,19,47,17893793,0,1,5528328
178,356,357,19,70,17558151,0,1,20941622
179,358,359,19,74,14960383,0,1,45312295
180,360,361,19,96,18210827,0,1,32224934
181,362,363,20,29,18619454,0,1,18633852
182,364,365,20,39,15751292,0,1,22861046
183,366,367,20,48,16510882,0,1,9574538
184,368,369,20,50,19535359,0,1,15179646
185,370,371,20,52,18440355,0,1,19825518
186,372,373,20,60,20296398,0,1,16193669
187,374,375,20,64,20618323,0,1,13772971
188,376,377,20,78,18061671,0,1,22081757
189,378,379,21,28,17386285,0,1,12414299
190,380,381,21,38,20565964,0,1,8055268
191,382,383,21,39,15939039,0,1,3189859
192,384,385,21,52,17569897,0,1,39139984
193,386,387,21,63,16061827,0,1,4840012
194,388,389,21,75,16701108,0,1,4281729
195,390,391,21,85,18933125,0,1,5181882
196,392,393,21,92,18687766,0,1,18392953
197,394,395,22,43,18242329,0,1,9448448
198,396,397,22,44,17915272,0,1,34690174
199,398,399,22,51,18252786,0,1,9188541
200,400,401,22,53,18866107,0,0,0
201,402,403,22,70,19031244,0,1,3953799
202,404,405,22,71,15761412,0,1,8073069
203,406,407,22,94,16446476,0,1,28824047
204,408,409,23,24,18316105,0,1,13809448
205,410,411,23,31,17126516,0,1,5944874
206,412,413,23,36,16779737,0,1,30942200
207,414,415,23,47,17349157,0,1,5400773
208,416,417,23,68,18359258,0,1,8969195
209,418,419,23,85,18447055,0,1,19042435
210,420,421,23,89,18010164,0,1,12939622
211,422,423,23,91,19932631,0,1,8615368
212,424,425,23,92,17841233,0,1,6710677
213,426,427,23,94,16544790,0,1,12019199
214,428,429,24,32,17811463,0,1,20964590
215,430,431,24,43,17281481,0,1,31834821
216,432,433,24,44,17263229,0,1,9259656
217,434,435,24,47,20040136,0,1,32854227
218,436,437,24,60,20891419,0,1,13809051
219,438,439,24,61,21139772,0,1,11599509
220,440,441,24,71,16284859,0,1,18260523
221,442,443,24,75,16278003,0,1,7551688
222,444,445,24,82,17125727,0,1,12144888
223,446,447,25,31,17553239,0,0,0
224,448,449,25,33,17690068,0,1,9395487
225,450,451,25,50,18486141,0,0,0
226,452,453,25,54,13657834,0,1,17237214
