id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
0,0,1,0,9,2115067,0,0,100,140,0,411
1,0,0,9,0,16160823,0,0,100,140,0,427
2,1,3,0,10,17212353,0,0,100,140,0,327
3,1,2,10,0,1120669,0,0,100,140,0,412
4,2,5,0,14,1868749,0,0,100,140,0,261
5,2,4,14,0,15852903,0,0,100,140,0,275
6,3,7,0,20,59078,0,0,100,140,0,321
7,3,6,20,0,16027820,0,0,100,140,0,317
8,4,9,0,21,699862,0,0,100,140,0,314
9,4,8,21,0,16706676,0,0,100,140,0,314
10,5,11,0,27,18836011,0,0,100,140,0,372
11,5,10,27,0,884869,0,0,100,140,0,377
12,6,13,0,36,16760792,0,0,100,140,0,373
13,6,12,36,0,756802,0,0,100,140,0,347
14,7,15,0,57,4004432,0,0,100,140,0,208
15,7,14,57,0,14004982,0,0,100,140,0,228
16,8,17,0,72,393959,0,0,100,140,0,217
17,8,16,72,0,18426623,0,0,100,140,0,238
18,9,19,0,73,2282538,0,0,100,140,0,359
19,9,18,73,0,18316870,0,0,100,140,0,377
20,10,21,0,92,200672,0,0,100,140,0,335
21,10,20,92,0,18276006,0,0,100,140,0,359
22,11,23,1,3,99722,0,0,100,140,0,360
23,11,22,3,1,16096700,0,0,100,140,0,383
24,12,25,1,15,292768,0,0,100,140,0,195
25,12,24,15,1,14359058,0,0,100,140,0,220
26,13,27,1,26,221413,0,0,100,140,0,253
27,13,26,26,1,16298717,0,0,100,140,0,279
28,14,29,1,27,16388641,0,0,100,140,0,135
29,14,28,27,1,388595,0,0,100,140,0,146
30,15,31,1,28,881744,0,0,100,140,0,243
31,15,30,28,1,14911226,0,0,100,140,0,273
32,16,33,1,34,4701799,0,0,100,140,0,348
33,16,32,34,1,14629473,0,0,100,140,0,402
34,17,35,1,43,3667723,0,0,100,140,0,347
35,17,34,43,1,15691255,0,0,100,140,0,394
36,18,37,1,53,754025,0,0,100,140,0,274
37,18,36,53,1,18897975,0,0,100,140,0,293
38,19,39,1,54,155120,0,0,100,140,0,278
39,19,38,54,1,20154538,0,0,100,140,0,304
40,20,41,1,71,826741,0,0,100,140,0,179
41,20,40,71,1,18847333,0,0,100,140,0,215
42,21,43,1,82,56592,0,0,100,140,0,305
43,21,42,82,1,20042618,0,0,100,140,0,321
44,22,45,1,84,10738572,0,0,100,140,0,301
45,22,44,84,1,6714150,0,0,100,140,0,351
46,23,47,2,9,2686076,0,0,100,140,0,284
47,23,46,9,2,18622184,0,0,100,140,0,281
48,24,49,2,26,232049,0,0,100,140,0,186
49,24,48,26,2,18228301,0,0,100,140,0,202
50,25,51,2,43,5073705,0,0,100,140,0,324
51,25,50,43,2,13008687,0,0,100,140,0,312
52,26,53,2,44,3968705,0,0,100,140,0,213
53,26,52,44,2,11939261,0,0,100,140,0,228
54,27,55,2,54,1229556,0,0,100,140,0,302
55,27,54,54,2,15287192,0,0,100,140,0,289
56,28,57,2,63,8452278,0,0,100,140,0,251
57,28,56,63,2,8426224,0,0,100,140,0,251
58,29,59,2,65,3491002,0,0,100,140,0,448
59,29,58,65,2,15438672,0,0,100,140,0,406
60,30,61,2,68,1819038,0,0,100,140,0,329
61,30,60,68,2,15838942,0,0,100,140,0,334
62,31,63,2,86,9191793,0,0,100,140,0,296
63,31,62,86,2,11202355,0,0,100,140,0,305
64,32,65,2,87,139805,0,0,100,140,0,301
65,32,64,87,2,18179355,0,0,100,140,0,269
66,33,67,2,93,10341573,0,0,100,140,0,362
67,33,66,93,2,8364377,0,0,100,140,0,377
68,34,69,3,12,6979268,0,0,100,140,0,233
69,34,68,12,3,10946846,0,0,100,140,0,240
70,35,71,3,31,11178844,0,0,100,140,0,227
71,35,70,31,3,7239202,0,0,100,140,0,228
72,36,73,3,33,2781821,0,0,100,140,0,330
73,36,72,33,3,12787643,0,0,100,140,0,356
74,37,75,3,35,12427348,0,0,100,140,0,265
