id,sender_id,receiver_id,amount,start_time,end_time,mpp,is_success,no_balance_count,offline_node_count,timeout_exp,attempts,route,total_fee
0,21,42,999199,443,844,0,1,0,0,0,1,376-602,0
1,42,61,1000460,3485,3887,0,1,0,0,0,1,690-867,0
2,71,23,1001830,3891,4489,0,1,0,0,0,1,41-34-407,0
3,1,77,1000968,4155,4752,0,1,0,0,0,1,42-601-594,0
4,50,44,999736,4481,4879,0,1,0,0,0,1,751-709,0
5,57,69,999182,5990,6589,0,1,0,0,0,1,537-542-939,0
6,87,50,1001203,9152,9748,0,1,0,0,0,1,919-920-777,0
7,33,13,1000177,9301,9699,0,1,0,0,0,1,562-239,0
8,71,79,1001049,10171,10370,0,1,0,0,0,1,944,0
9,11,78,999833,11619,12215,0,1,0,0,0,1,212-801-796,0
10,58,87,1000655,11775,12173,0,1,0,0,0,1,469-482,0
11,27,70,997155,13136,13735,0,1,0,0,0,1,466-503-492,0
12,10,43,1000596,14567,15162,0,1,0,0,0,1,190-799-695,0
13,47,74,998888,15003,15401,0,1,0,0,0,1,746-955,0
14,64,57,1000463,15362,15761,0,1,0,0,0,1,817-806,0
15,28,93,999698,16079,16679,0,1,0,0,0,1,482-65-66,0
16,65,93,1000363,16842,17239,0,1,0,0,0,1,59-66,0
17,34,96,1000426,17162,17560,0,1,0,0,0,1,576-638,0
18,30,50,1000072,19461,19857,0,1,0,0,0,1,421-428,0
19,40,15,999182,19764,20161,0,1,0,0,0,1,666-265,0
20,88,47,1001187,19979,20574,0,1,0,0,0,1,627-618-743,0
21,17,11,1001162,20095,20494,0,1,0,0,0,1,300-203,0
22,32,50,1000627,20735,21134,0,1,0,0,0,1,423-428,0
23,45,79,999157,23014,23411,0,1,0,0,0,1,315-326,0
24,49,68,1001224,23240,23837,0,1,0,0,0,1,766-868-927,0
25,37,97,1000902,24332,24933,0,1,0,0,0,1,622-882-964,0
26,36,22,1002429,26753,27152,0,1,0,0,0,1,377-370,0
27,60,75,999511,27277,27676,0,1,0,0,0,1,145-152,0
28,14,2,999840,28031,28427,0,1,0,0,0,1,250-61,0
29,78,63,1000902,29009,29408,0,1,0,0,0,1,974-889,0
30,96,53,1000229,29529,29930,0,1,0,0,0,1,369-356,0
31,26,10,1000842,30099,30496,0,1,0,0,0,1,444-187,0
32,46,91,1001367,31249,31845,0,1,0,0,0,1,728-750-776,0
33,60,75,1000509,32605,33003,0,1,0,0,0,1,145-152,0
34,86,44,1000710,33935,34337,0,1,0,0,0,1,63-52,0
35,3,28,999673,35965,36360,0,1,0,0,0,1,23-30,0
36,47,36,1001673,36046,36445,0,1,0,0,0,1,565-558,0
37,81,28,999033,37524,37920,0,1,0,0,0,1,979-475,0
38,20,4,999565,37797,37996,0,1,0,0,0,1,93,0
39,88,60,1000325,39131,39724,0,1,0,0,0,1,905-149-144,0
40,95,27,998362,41201,41599,0,1,0,0,0,1,231-214,0
41,19,71,999748,41325,41922,0,1,0,0,0,1,342-853-856,0
42,10,16,999879,42112,42511,0,1,0,0,0,1,190-287,0
43,34,81,998100,42915,43513,0,1,0,0,0,1,33-26-450,0
44,65,22,999582,43404,43804,0,1,0,0,0,1,491-391,0
