id,sender_id,receiver_id,amount,start_time,end_time,mpp,is_success,no_balance_count,offline_node_count,timeout_exp,attempts,route,total_fee
0,77,29,995,1005,1005,0,0,0,0,0,1,-1,
1,44,74,994,1880,1880,0,0,0,0,0,1,-1,
2,22,2,1632,3309,3309,0,0,0,0,0,1,-1,
3,26,16,604,3471,3471,0,0,0,0,0,1,-1,
4,95,81,1991,5145,5145,0,0,0,0,0,1,-1,
5,19,61,628,6444,6444,0,0,0,0,0,1,-1,
6,91,54,310,7226,7226,0,0,0,0,0,1,-1,
7,41,14,420,8102,8102,0,0,0,0,0,1,-1,
8,67,18,2263,8671,8671,0,0,0,0,0,1,-1,
9,10,61,1110,8738,8738,0,0,0,0,0,1,-1,
10,65,5,2405,10373,10373,0,0,0,0,0,1,-1,
11,1,52,1784,10776,10776,0,0,0,0,0,1,-1,
12,31,55,736,11133,11133,0,0,0,0,0,1,-1,
13,41,11,3039,11263,11263,0,0,0,0,0,1,-1,
14,54,73,713,11484,11484,0,0,0,0,0,1,-1,
15,76,85,539,11854,11854,0,0,0,0,0,1,-1,
16,75,59,1709,14007,14007,0,0,0,0,0,1,-1,
17,98,32,252,16092,16092,0,0,0,0,0,1,-1,
18,39,29,1364,16255,16255,0,0,0,0,0,1,-1,
19,65,38,1604,16828,16828,0,0,0,0,0,1,-1,
20,98,35,3286,18577,18577,0,0,0,0,0,1,-1,
21,14,25,1348,19083,19083,0,0,0,0,0,1,-1,
22,90,63,1227,19975,19975,0,0,0,0,0,1,-1,
23,0,3,1071,20110,20110,0,0,0,0,0,1,-1,
24,30,23,2200,21596,21596,0,0,0,0,0,1,-1,
25,21,3,675,22078,22078,0,0,0,0,0,1,-1,
26,31,22,154,22503,22503,0,0,0,0,0,1,-1,
27,58,4,1443,23316,23316,0,0,0,0,0,1,-1,
28,76,52,666,23856,23856,0,0,0,0,0,1,-1,
29,70,60,1055,24000,24000,0,0,0,0,0,1,-1,
30,59,60,105,24357,24357,0,0,0,0,0,1,-1,
31,50,2,169,24357,24357,0,0,0,0,0,1,-1,
32,55,66,995,25001,25001,0,0,0,0,0,1,-1,
33,74,29,1251,27014,27014,0,0,0,0,0,1,-1,
34,33,95,2537,30789,30789,0,0,0,0,0,1,-1,
35,10,44,278,32594,32594,0,0,0,0,0,1,-1,
36,51,46,149,34517,34517,0,0,0,0,0,1,-1,
37,85,6,553,35448,35448,0,0,0,0,0,1,-1,
38,78,11,1354,36329,36329,0,0,0,0,0,1,-1,
39,72,3,633,36487,36487,0,0,0,0,0,1,-1,
40,56,10,909,37205,37205,0,0,0,0,0,1,-1,
41,2,67,133,37435,37435,0,0,0,0,0,1,-1,
42,5,20,1945,37549,37549,0,0,0,0,0,1,-1,
43,6,17,2018,37834,37834,0,0,0,0,0,1,-1,
44,36,32,173,37947,37947,0,0,0,0,0,1,-1,
45,98,74,816,39268,39268,0,0,0,0,0,1,-1,
46,59,96,1314,39471,39471,0,0,0,0,0,1,-1,
47,69,64,651,42460,42460,0,0,0,0,0,1,-1,
48,54,69,1255,42940,42940,0,0,0,0,0,1,-1,
49,64,92,1593,43007,43007,0,0,0,0,0,1,-1,
50,56,22,121,43021,43021,0,0,0,0,0,1,-1,
51,74,97,1893,43882,43882,0,0,0,0,0,1,-1,
52,79,16,474,45980,45980,0,0,0,0,0,1,-1,
53,81,58,1593,46188,46188,0,0,0,0,0,1,-1,
54,14,37,2577,47371,47371,0,0,0,0,0,1,-1,
55,18,10,432,47633,47633,0,0,0,0,0,1,-1,
56,16,65,2595,49342,49342,0,0,0,0,0,1,-1,
57,83,9,1619,52611,52611,0,0,0,0,0,1,-1,
58,56,26,2043,52831,52831,0,0,0,0,0,1,-1,
59,12,43,441,53945,53945,0,0,0,0,0,1,-1,
60,3,93,1058,54548,54548,0,0,0,0,0,1,-1,
61,67,74,1106,54835,54835,0,0,0,0,0,1,-1,
62,38,35,322,56361,56361,0,0,0,0,0,1,-1,
63,57,84,2819,56627,56627,0,0,0,0,0,1,-1,
64,78,48,1886,56648,56648,0,0,0,0,0,1,-1,
65,87,75,849,56665,56665,0,0,0,0,0,1,-1,
66,51,1,420,58525,58525,0,0,0,0,0,1,-1,
67,89,17,1855,58920,58920,0,0,0,0,0,1,-1,
68,74,40,3292,59459,59459,0,0,0,0,0,1,-1,
69,0,11,218,60848,60848,0,0,0,0,0,1,-1,
70,9,38,156,60928,60928,0,0,0,0,0,1,-1,
71,84,20,1430,61109,61109,0,0,0,0,0,1,-1,
72,29,75,2052,62736,62736,0,0,0,0,0,1,-1,
73,92,35,156,62837,62837,0,0,0,0,0,1,-1,
74,81,89,1697,63336,63336,0,0,0,0,0,1,-1,
75,42,86,143,63532,63532,0,0,0,0,0,1,-1,
76,25,92,463,64865,64865,0,0,0,0,0,1,-1,
77,44,50,2602,65312,65312,0,0,0,0,0,1,-1,
78,21,44,628,67318,67318,0,0,0,0,0,1,-1,
79,88,31,552,67681,67681,0,0,0,0,0,1,-1,
80,18,72,861,67978,67978,0,0,0,0,0,1,-1,
81,34,91,396,68283,68283,0,0,0,0,0,1,-1,
82,13,54,397,68799,68799,0,0,0,0,0,1,-1,
83,30,2,435,69327,69327,0,0,0,0,0,1,-1,
84,70,40,1574,70908,70908,0,0,0,0,0,1,-1,
85,60,84,2321,70990,70990,0,0,0,0,0,1,-1,
86,55,98,684,71464,71464,0,0,0,0,0,1,-1,
87,30,42,1288,71503,71503,0,0,0,0,0,1,-1,
88,89,5,25,72007,72007,0,0,0,0,0,1,-1,
89,26,79,943,72536,72536,0,0,0,0,0,1,-1,
90,18,54,1497,73378,73378,0,0,0,0,0,1,-1,
91,88,6,529,76848,76848,0,0,0,0,0,1,-1,
92,61,31,1522,78471,78471,0,0,0,0,0,1,-1,
93,26,62,417,78945,78945,0,0,0,0,0,1,-1,
94,27,22,417,81733,81733,0,0,0,0,0,1,-1,
95,24,70,227,82161,82161,0,0,0,0,0,1,-1,
96,12,38,2310,85842,85842,0,0,0,0,0,1,-1,
97,89,68,164,87921,87921,0,0,0,0,0,1,-1,
98,4,87,465,91242,91242,0,0,0,0,0,1,-1,
99,19,59,1700,91833,91833,0,0,0,0,0,1,-1,
100,14,79,1338,92298,92298,0,0,0,0,0,1,-1,
101,0,76,853,94061,94061,0,0,0,0,0,1,-1,
102,63,0,2795,94473,94473,0,0,0,0,0,1,-1,
103,32,89,1656,95015,95015,0,0,0,0,0,1,-1,
104,38,86,113,97290,97290,0,0,0,0,0,1,-1,
105,57,5,536,97363,97363,0,0,0,0,0,1,-1,
106,13,30,939,98895,98895,0,0,0,0,0,1,-1,
107,42,30,1466,99168,99168,0,0,0,0,0,1,-1,
108,87,59,729,100086,100086,0,0,0,0,0,1,-1,
109,32,64,55,101033,101033,0,0,0,0,0,1,-1,
110,69,11,1583,102657,102657,0,0,0,0,0,1,-1,
111,14,51,389,104993,104993,0,0,0,0,0,1,-1,
112,8,78,2565,105745,105745,0,0,0,0,0,1,-1,
113,13,69,303,106704,106704,0,0,0,0,0,1,-1,
114,67,76,1183,106746,106746,0,0,0,0,0,1,-1,
115,36,96,2188,107187,107187,0,0,0,0,0,1,-1,
116,6,70,1730,107207,107207,0,0,0,0,0,1,-1,
117,99,80,234,108414,108414,0,0,0,0,0,1,-1,
118,14,54,497,108473,108473,0,0,0,0,0,1,-1,
119,30,25,1229,109518,109518,0,0,0,0,0,1,-1,
120,99,87,1288,110114,110114,0,0,0,0,0,1,-1,
121,15,60,500,111194,111194,0,0,0,0,0,1,-1,
122,72,17,110,113017,113017,0,0,0,0,0,1,-1,
123,71,58,352,113168,113168,0,0,0,0,0,1,-1,
124,61,73,1093,113895,113895,0,0,0,0,0,1,-1,
125,72,62,1060,114201,114201,0,0,0,0,0,1,-1,
126,90,27,2146,114967,114967,0,0,0,0,0,1,-1,
127,51,34,847,115960,115960,0,0,0,0,0,1,-1,
128,66,54,2570,117809,117809,0,0,0,0,0,1,-1,
129,69,21,1217,120115,120115,0,0,0,0,0,1,-1,
130,0,13,556,120256,120256,0,0,0,0,0,1,-1,
131,15,90,1674,120264,120264,0,0,0,0,0,1,-1,
132,58,13,1238,120388,120388,0,0,0,0,0,1,-1,
133,82,77,699,120737,120737,0,0,0,0,0,1,-1,
134,77,13,1377,121508,121508,0,0,0,0,0,1,-1,
135,31,75,190,121684,121684,0,0,0,0,0,1,-1,
136,56,6,2693,122497,122497,0,0,0,0,0,1,-1,
137,71,44,2944,124462,124462,0,0,0,0,0,1,-1,
138,71,50,1449,124500,124500,0,0,0,0,0,1,-1,
139,25,67,692,125556,125556,0,0,0,0,0,1,-1,
140,10,6,592,127375,127375,0,0,0,0,0,1,-1,
141,65,73,202,129835,129835,0,0,0,0,0,1,-1,
142,6,68,1101,130653,130653,0,0,0,0,0,1,-1,
143,96,16,497,131682,131682,0,0,0,0,0,1,-1,
144,23,25,542,131716,131716,0,0,0,0,0,1,-1,
145,28,98,788,132081,132081,0,0,0,0,0,1,-1,
146,82,56,785,132372,132372,0,0,0,0,0,1,-1,
147,79,23,1662,133610,133610,0,0,0,0,0,1,-1,
148,70,62,673,134348,134348,0,0,0,0,0,1,-1,
149,76,44,1127,135453,135453,0,0,0,0,0,1,-1,
150,65,22,693,137681,137681,0,0,0,0,0,1,-1,
151,56,30,2642,137792,137792,0,0,0,0,0,1,-1,
152,52,2,472,138353,138353,0,0,0,0,0,1,-1,
153,73,83,1109,138904,138904,0,0,0,0,0,1,-1,
154,25,34,868,139000,139000,0,0,0,0,0,1,-1,
155,11,17,437,142024,142024,0,0,0,0,0,1,-1,
156,81,24,1189,142882,142882,0,0,0,0,0,1,-1,
157,48,29,1180,146147,146147,0,0,0,0,0,1,-1,
158,63,9,1940,149515,149515,0,0,0,0,0,1,-1,
159,75,80,1421,150060,150060,0,0,0,0,0,1,-1,
160,61,84,1029,151315,151315,0,0,0,0,0,1,-1,
161,98,0,97,151556,151556,0,0,0,0,0,1,-1,
162,84,15,2709,151746,151746,0,0,0,0,0,1,-1,
163,71,11,1587,153424,153424,0,0,0,0,0,1,-1,
164,64,11,1921,153760,153760,0,0,0,0,0,1,-1,
165,77,63,1248,154840,154840,0,0,0,0,0,1,-1,
166,53,45,1786,156671,156671,0,0,0,0,0,1,-1,
167,49,10,1206,156724,156724,0,0,0,0,0,1,-1,
168,64,76,1473,157044,157044,0,0,0,0,0,1,-1,
169,16,27,832,158670,158670,0,0,0,0,0,1,-1,
170,93,39,778,158949,158949,0,0,0,0,0,1,-1,
171,29,39,1439,159399,159399,0,0,0,0,0,1,-1,
172,27,1,1116,161559,161559,0,0,0,0,0,1,-1,
173,23,87,2215,161640,161640,0,0,0,0,0,1,-1,
174,90,6,1500,162884,162884,0,0,0,0,0,1,-1,
175,10,30,475,163038,163038,0,0,0,0,0,1,-1,
176,23,71,1616,163994,163994,0,0,0,0,0,1,-1,
177,91,93,1784,164903,164903,0,0,0,0,0,1,-1,
178,56,82,1669,165651,165651,0,0,0,0,0,1,-1,
179,67,80,144,165721,165721,0,0,0,0,0,1,-1,
180,18,71,1196,165760,165760,0,0,0,0,0,1,-1,
181,70,43,1263,165942,165942,0,0,0,0,0,1,-1,
182,1,14,430,166595,166595,0,0,0,0,0,1,-1,
183,99,2,721,168030,168030,0,0,0,0,0,1,-1,
184,6,79,293,170200,170200,0,0,0,0,0,1,-1,
185,61,41,221,171639,171639,0,0,0,0,0,1,-1,
186,8,75,1557,173251,173251,0,0,0,0,0,1,-1,
187,89,1,2123,173889,173889,0,0,0,0,0,1,-1,
188,91,63,2209,174227,174227,0,0,0,0,0,1,-1,
189,71,84,1244,177932,177932,0,0,0,0,0,1,-1,
190,14,66,1752,179773,179773,0,0,0,0,0,1,-1,
191,80,84,1085,180773,180773,0,0,0,0,0,1,-1,
192,61,52,1092,181793,181793,0,0,0,0,0,1,-1,
193,7,0,2080,182987,182987,0,0,0,0,0,1,-1,
194,17,22,236,183322,183322,0,0,0,0,0,1,-1,
195,81,5,3642,183513,183513,0,0,0,0,0,1,-1,
