id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
0,0,1,0,1,1574509,0,0,100,140,0,405
1,0,0,1,0,19574509,0,0,100,140,0,66
2,1,3,0,2,7742534,0,0,100,140,0,369
3,1,2,2,0,9742534,0,0,100,140,0,112
4,2,5,0,3,6563891,0,0,100,140,0,454
5,2,4,3,0,10563891,0,0,100,140,0,180
6,3,7,0,4,1612013,0,0,100,140,0,379
7,3,6,4,0,11612013,0,0,100,140,0,140
8,4,9,1,2,7992543,0,0,100,140,0,329
9,4,8,2,1,9992543,0,0,100,140,0,40
10,5,11,1,3,7712331,0,0,100,140,0,345
11,5,10,3,1,9712331,0,0,100,140,0,200
12,6,13,1,4,5517033,0,0,100,140,0,394
13,6,12,4,1,11517033,0,0,100,140,0,55
14,7,15,2,3,3283862,0,0,100,140,0,173
15,7,14,3,2,15283862,0,0,100,140,0,50
16,8,17,2,4,12378945,0,0,100,140,0,491
17,8,16,4,2,6378945,0,0,100,140,0,332
18,9,19,3,4,4040957,0,0,100,140,0,295
19,9,18,4,3,12040957,0,0,100,140,0,19
