id,open_edges
0,0-2-4-6-8-10-12
1,14-16-18-20-22-24
2,26-28-30-32
3,15-34-36-38-40-42
4,44-46-48
5,50-52-54-56-58-60-62
6,64-66-68-70
7,72-74-76
8,78
9,17-45-65-80-82-84-86
10,88-90-92-94
11,1-47-96-98-100-102-104
12,106-108-110-112-114
13,3-19-35-51-116-118-120
14,37-53-122-124-126-128
15,89-130-132-134-136-138-140
16,5-55-91-117-131
17,73-142-144-146-148-150
18,39-152
19,119-143-154-156-158
20,21-49-155-160-162
21,57-97-164-166-168-170
22,7-107-172-174
23,165-176-178-180-182
24,9-41-59-79-81-99-157-184-186
25,93-109-188
26,27-145-167-190-192
27,11-194-196
28,61
29,147-161-198-200-202
30,149-173-185-199-204-206-208
31,83-177-205-210-212-214
32,111-123-216
33,125-151-179-211-218
34,133-220-222
35,95-195-224-226
36,29-121-135-169-175
37,137-187
38,67-201-228
39,63-75-127-189-213-230-232
40,129-181-215-219-225-234
41,101-236
42,85-207-231-238
43,69-139-203-240
44,13-31-43-87-113-153-221-242
45,71-171-183-191-217-229-237-241
46,103-115-141-193-239-244-246
47,33-77-163-197-209-235-243-245
48,23-159-233-247
49,25-105-223-227
