id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock
0,0,1,0,1,10244765,0,0,100,140
1,0,0,1,0,10244765,0,0,100,140
2,1,3,0,2,9601114,0,0,100,140
3,1,2,2,0,9601114,0,0,100,140
4,2,5,0,3,10094611,0,0,100,140
5,2,4,3,0,10094611,0,0,100,140
6,3,7,0,4,7840122,0,0,100,140
7,3,6,4,0,7840122,0,0,100,140
8,4,9,0,5,8061107,0,0,100,140
9,4,8,5,0,8061107,0,0,100,140
10,5,11,0,6,8412266,0,0,100,140
11,5,10,6,0,8412266,0,0,100,140
12,6,13,0,7,9967733,0,0,100,140
13,6,12,7,0,9967733,0,0,100,140
14,7,15,0,8,8005988,0,0,100,140
15,7,14,8,0,8005988,0,0,100,140
16,8,17,0,9,10250934,0,0,100,140
17,8,16,9,0,10250934,0,0,100,140
18,9,19,1,2,7685176,0,0,100,140
19,9,18,2,1,7685176,0,0,100,140
20,10,21,1,3,7934599,0,0,100,140
21,10,20,3,1,7934599,0,0,100,140
22,11,23,1,6,7605823,0,0,100,140
23,11,22,6,1,7605823,0,0,100,140
24,12,25,1,7,7449639,0,0,100,140
25,12,24,7,1,7449639,0,0,100,140
26,13,27,1,8,9122402,0,0,100,140
27,13,26,8,1,9122402,0,0,100,140
28,14,29,1,9,9474779,0,0,100,140
29,14,28,9,1,9474779,0,0,100,140
30,15,31,2,3,8871104,0,0,100,140
31,15,30,3,2,8871104,0,0,100,140
32,16,33,2,4,10045092,0,0,100,140
33,16,32,4,2,10045092,0,0,100,140
34,17,35,2,5,10586992,0,0,100,140
35,17,34,5,2,10586992,0,0,100,140
36,18,37,2,6,8499709,0,0,100,140
37,18,36,6,2,8499709,0,0,100,140
38,19,39,2,7,8575362,0,0,100,140
39,19,38,7,2,8575362,0,0,100,140
40,20,41,2,8,10842823,0,0,100,140
41,20,40,8,2,10842823,0,0,100,140
42,21,43,2,9,10404684,0,0,100,140
43,21,42,9,2,10404684,0,0,100,140
44,22,45,3,6,8413623,0,0,100,140
45,22,44,6,3,8413623,0,0,100,140
46,23,47,3,7,8948547,0,0,100,140
47,23,46,7,3,8948547,0,0,100,140
48,24,49,3,8,10132555,0,0,100,140
49,24,48,8,3,10132555,0,0,100,140
50,25,51,3,9,10540174,0,0,100,140
51,25,50,9,3,10540174,0,0,100,140
52,26,53,4,5,8943680,0,0,100,140
53,26,52,5,4,8943680,0,0,100,140
54,27,55,4,6,9668296,0,0,100,140
55,27,54,6,4,9668296,0,0,100,140
56,28,57,4,7,10370624,0,0,100,140
57,28,56,7,4,10370624,0,0,100,140
58,29,59,4,8,8562487,0,0,100,140
59,29,58,8,4,8562487,0,0,100,140
60,30,61,4,9,10213218,0,0,100,140
61,30,60,9,4,10213218,0,0,100,140
62,31,63,5,6,8812617,0,0,100,140
63,31,62,6,5,8812617,0,0,100,140
64,32,65,5,7,9841305,0,0,100,140
65,32,64,7,5,9841305,0,0,100,140
66,33,67,5,8,7833349,0,0,100,140
67,33,66,8,5,7833349,0,0,100,140
68,34,69,5,9,8941686,0,0,100,140
69,34,68,9,5,8941686,0,0,100,140
70,35,71,6,7,10241274,0,0,100,140
71,35,70,7,6,10241274,0,0,100,140
72,36,73,6,8,8109148,0,0,100,140
73,36,72,8,6,8109148,0,0,100,140
74,37,75,6,9,8998005,0,0,100,140
75,37,74,9,6,8998005,0,0,100,140
76,38,77,7,8,7868751,0,0,100,140
77,38,76,8,7,7868751,0,0,100,140
78,39,79,7,9,7848637,0,0,100,140
79,39,78,9,7,7848637,0,0,100,140
80,40,81,8,9,8716104,0,0,100,140
81,40,80,9,8,8716104,0,0,100,140
