id,edge1,edge2,node1,node2,capacity,is_closed,is_unbalanced,unbalancing_time
0,0,1,0,1,16367048,0,1,2130
1,2,3,0,2,18743451,0,1,1436
2,4,5,0,3,15212815,0,1,1063
3,6,7,0,4,17058443,0,1,1177
4,8,9,0,7,16103448,0,1,1175
5,10,11,0,8,16720753,0,1,1252
6,12,13,0,9,18522881,0,1,1043
7,14,15,1,2,15712878,0,1,1541
8,16,17,1,3,18561850,0,1,2233
9,18,19,1,6,18029774,0,1,4494
10,20,21,1,8,17180183,0,1,3838
11,22,23,1,9,19328258,0,1,3747
12,24,25,2,3,19137060,0,1,1715
13,26,27,2,4,20194720,0,1,1766
14,28,29,2,5,14542456,0,1,3105
15,30,31,2,6,16517336,0,1,2121
16,32,33,2,7,15232973,0,1,1894
17,34,35,2,8,18921520,0,1,8789
18,36,37,3,6,17485206,0,1,2437
19,38,39,3,7,17247223,0,1,2369
20,40,41,3,8,15989044,0,1,1665
21,42,43,3,9,15551417,0,1,1654
22,44,45,4,6,20390334,0,1,2549
23,46,47,4,7,22244894,0,1,4669
24,48,49,4,9,17089255,0,1,1616
25,50,51,5,6,17648402,0,1,1435
26,52,53,5,7,15669100,0,1,7525
27,54,55,5,8,20685049,0,1,5869
28,56,57,5,9,18775342,0,1,1894
29,58,59,6,8,19922541,0,1,1936
30,60,61,6,9,15974392,0,1,1793
31,62,63,7,8,19813283,0,1,5665
32,64,65,7,9,19169881,0,1,2778
33,66,67,8,9,17209315,0,1,4937
