id,edge1_id,edge2_id,node1_id,node2_id,capacity
0,0,1,0,1,21149018
1,2,3,0,2,17485068
2,4,5,0,4,17127782
3,6,7,0,5,13224026
4,8,9,0,6,17985087
5,10,11,0,7,17424663
6,12,13,0,8,17034067
7,14,15,0,9,18567724
8,16,17,1,3,18757891
9,18,19,1,4,16081914
10,20,21,1,5,16404768
11,22,23,1,7,17143679
12,24,25,1,8,19241428
13,26,27,2,4,19010145
14,28,29,2,5,15650012
15,30,31,2,6,15984944
16,32,33,2,7,19326307
17,34,35,2,8,20834341
18,36,37,2,9,17944064
19,38,39,3,4,16769796
20,40,41,3,5,19972133
21,42,43,3,6,17442762
22,44,45,3,7,19306354
23,46,47,3,8,20788328
24,48,49,4,5,19134143
25,50,51,4,6,18132287
26,52,53,4,7,19318088
27,54,55,4,8,16843364
28,56,57,4,9,17679432
29,58,59,5,6,16966881
30,60,61,6,8,17632124
31,62,63,6,9,17124308
32,64,65,7,8,17665604
33,66,67,7,9,17315034
