id,edge1_id,edge2_id,node1_id,node2_id,capacity
0,0,1,0,1,21149018
1,2,3,0,2,17485068
2,4,5,0,4,17127782
3,6,7,0,5,13224026
4,8,9,0,6,17985087
5,10,11,0,7,17424663
6,12,13,0,8,17034067
7,14,15,1,3,18567724
8,16,17,1,4,18757891
9,18,19,1,5,16081914
10,20,21,1,8,16404768
11,22,23,2,6,17143679
12,24,25,2,7,19241428
13,26,27,2,8,19010145
14,28,29,2,9,15650012
15,30,31,3,4,15984944
16,32,33,3,5,19326307
17,34,35,3,6,20834341
18,36,37,3,7,17944064
19,38,39,3,8,16769796
20,40,41,4,5,19972133
21,42,43,4,7,17442762
22,44,45,4,9,19306354
23,46,47,5,6,20788328
24,48,49,6,8,19134143
25,50,51,6,9,18132287
26,52,53,7,8,19318088
27,54,55,7,9,16843364
