id,edge1_id,edge2_id,node1_id,node2_id,capacity
0,0,1,0,11,21149018
1,2,3,0,13,17485068
2,4,5,0,16,17127782
3,6,7,0,22,13224026
4,8,9,0,24,17985087
5,10,11,0,27,17424663
6,12,13,0,44,17034067
7,14,15,1,3,18567724
8,16,17,1,9,18757891
9,18,19,1,13,16081914
10,20,21,1,20,16404768
11,22,23,1,48,17143679
12,24,25,1,49,19241428
13,26,27,2,26,19010145
14,28,29,2,36,15650012
15,30,31,2,44,15984944
16,32,33,2,47,19326307
17,34,35,3,13,20834341
18,36,37,3,14,17944064
19,38,39,3,18,16769796
20,40,41,3,24,19972133
21,42,43,3,44,17442762
22,44,45,4,9,19306354
23,46,47,4,11,20788328
24,48,49,4,20,19134143
25,50,51,5,13,18132287
26,52,53,5,14,19318088
27,54,55,5,16,16843364
28,56,57,5,21,17679432
29,58,59,5,24,16966881
30,60,61,5,28,17632124
31,62,63,5,39,17124308
32,64,65,6,9,17665604
33,66,67,6,38,17315034
34,68,69,6,43,18160159
35,70,71,6,45,18114608
36,72,73,7,17,18533424
37,74,75,7,39,20524988
38,76,77,7,47,15215647
39,78,79,8,24,20332113
40,80,81,9,24,17572949
41,82,83,9,31,15781776
42,84,85,9,42,17689644
43,86,87,9,44,18165309
44,88,89,10,15,19921605
45,90,91,10,16,16089057
46,92,93,10,25,18391226
47,94,95,10,35,18212075
48,96,97,11,21,14968600
49,98,99,11,24,15865640
50,100,101,11,41,19080183
51,102,103,11,46,19252021
52,104,105,11,49,19957879
53,106,107,12,22,18960879
54,108,109,12,25,18711381
55,110,111,12,32,18221161
56,112,113,12,44,20176382
57,114,115,12,46,16482481
58,116,117,13,16,17744591
59,118,119,13,19,18693637
60,120,121,13,36,15160510
61,122,123,14,32,20359698
62,124,125,14,33,16572842
63,126,127,14,39,17870851
64,128,129,14,40,21882013
65,130,131,15,16,16507012
66,132,133,15,34,17047130
67,134,135,15,36,20811066
68,136,137,15,37,16055651
69,138,139,15,43,17222296
70,140,141,15,46,18928951
71,142,143,17,19,18819707
72,144,145,17,26,19068635
73,146,147,17,29,18666911
74,148,149,17,30,20421680
75,150,151,17,33,19828695
76,152,153,18,44,19071501
77,154,155,19,20,16770957
78,156,157,19,24,16715592
79,158,159,19,48,14565078
80,160,161,20,29,19237162
81,162,163,20,47,14718582
82,164,165,21,23,19582404
83,166,167,21,26,21323456
84,168,169,21,36,16089022
85,170,171,21,45,16767927
86,172,173,22,30,17142813
87,174,175,22,36,19494558
88,176,177,23,31,16445965
89,178,179,23,33,17765025
90,180,181,23,40,17058442
91,182,183,23,45,17547701
92,184,185,24,30,20324294
93,186,187,24,37,16264431
94,188,189,25,39,18129167
95,190,191,26,45,18488891
96,192,193,26,46,19545600
97,194,195,27,35,15724667
98,196,197,27,47,20006766
99,198,199,29,30,18782598
100,200,201,29,38,19573690
101,202,203,29,43,18128973
102,204,205,30,31,15049707
103,206,207,30,42,16834855
104,208,209,30,47,19471985
105,210,211,31,33,18066230
106,212,213,31,39,17912335
107,214,215,31,40,21224755
108,216,217,32,45,21963341
109,218,219,33,40,17933279
110,220,221,34,44,21479229
111,222,223,34,49,14411571
112,224,225,35,40,14311696
113,226,227,35,49,19560699
114,228,229,38,45,17528470
115,230,231,39,42,19042147
116,232,233,39,48,18929794
117,234,235,40,47,17839073
118,236,237,41,45,19227833
119,238,239,42,46,18271299
120,240,241,43,45,15242143
121,242,243,44,47,18393963
122,244,245,46,47,18334193
123,246,247,46,48,21298997
