id,edge1,edge2,node1,node2,capacity,is_closed,is_unbalanced,unbalancing_time
0,0,1,0,11,21149018,0,1,2455
1,2,3,0,13,17485068,0,1,2890
2,4,5,0,16,17127782,0,1,5737
3,6,7,0,22,13224026,0,1,4908
4,8,9,0,24,17985087,0,1,5764
5,10,11,0,27,17424663,0,1,3776
6,12,13,0,44,17034067,0,1,1170
7,14,15,1,3,18567724,0,1,13002
8,16,17,1,9,18757891,0,1,11322
9,18,19,1,13,16081914,0,1,6985
10,20,21,1,20,16404768,0,1,1171
11,22,23,1,48,17143679,0,1,2972
12,24,25,1,49,19241428,0,1,1398
13,26,27,2,26,19010145,0,1,1294
14,28,29,2,36,15650012,0,1,1597
15,30,31,2,44,15984944,0,1,1880
16,32,33,2,47,19326307,0,1,2480
17,34,35,3,13,20834341,0,1,6095
18,36,37,3,14,17944064,0,1,785
19,38,39,3,18,16769796,0,1,5781
20,40,41,3,24,19972133,0,1,3191
21,42,43,3,44,17442762,0,1,1085
22,44,45,4,9,19306354,0,1,2400
23,46,47,4,11,20788328,0,1,1416
24,48,49,4,20,19134143,0,1,2264
25,50,51,5,13,18132287,0,1,4555
26,52,53,5,14,19318088,0,1,1499
27,54,55,5,16,16843364,0,1,1674
28,56,57,5,21,17679432,0,1,889
29,58,59,5,24,16966881,0,1,437
30,60,61,5,28,17632124,0,1,571
31,62,63,5,39,17124308,0,1,1410
32,64,65,6,9,17665604,0,1,854
33,66,67,6,38,17315034,0,1,5321
34,68,69,6,43,18160159,0,1,1393
35,70,71,6,45,18114608,0,1,1892
36,72,73,7,17,18533424,0,1,1955
37,74,75,7,39,20524988,0,1,4003
38,76,77,7,47,15215647,0,1,1743
39,78,79,8,24,20332113,0,1,648
40,80,81,9,24,17572949,0,1,1362
41,82,83,9,31,15781776,0,1,2183
42,84,85,9,42,17689644,0,1,1335
43,86,87,9,44,18165309,0,1,1819
44,88,89,10,15,19921605,0,1,2240
45,90,91,10,16,16089057,0,1,6305
46,92,93,10,25,18391226,0,1,2502
47,94,95,10,35,18212075,0,1,2640
48,96,97,11,21,14968600,0,1,692
49,98,99,11,24,15865640,0,1,374
50,100,101,11,41,19080183,0,1,660
51,102,103,11,46,19252021,0,1,852
52,104,105,11,49,19957879,0,1,1512
53,106,107,12,22,18960879,0,1,6295
54,108,109,12,25,18711381,0,1,12446
55,110,111,12,32,18221161,0,1,2034
56,112,113,12,44,20176382,0,1,1548
57,114,115,12,46,16482481,0,1,1621
58,116,117,13,16,17744591,0,1,2941
59,118,119,13,19,18693637,0,1,4818
60,120,121,13,36,15160510,0,1,1242
61,122,123,14,32,20359698,0,1,793
62,124,125,14,33,16572842,0,1,2948
63,126,127,14,39,17870851,0,1,4643
64,128,129,14,40,21882013,0,1,2429
65,130,131,15,16,16507012,0,1,2256
66,132,133,15,34,17047130,0,1,4069
67,134,135,15,36,20811066,0,1,5796
68,136,137,15,37,16055651,0,1,2322
69,138,139,15,43,17222296,0,1,3526
70,140,141,15,46,18928951,0,1,1031
71,142,143,17,19,18819707,0,1,2507
72,144,145,17,26,19068635,0,1,1369
73,146,147,17,29,18666911,0,1,7191
74,148,149,17,30,20421680,0,1,13819
75,150,151,17,33,19828695,0,1,5111
76,152,153,18,44,19071501,0,1,2334
77,154,155,19,20,16770957,0,1,1479
78,156,157,19,24,16715592,0,1,8141
79,158,159,19,48,14565078,0,1,1555
80,160,161,20,29,19237162,0,1,2049
81,162,163,20,47,14718582,0,1,2135
82,164,165,21,23,19582404,0,1,2380
83,166,167,21,26,21323456,0,1,21956
84,168,169,21,36,16089022,0,1,1927
85,170,171,21,45,16767927,0,1,1435
86,172,173,22,30,17142813,0,1,5093
87,174,175,22,36,19494558,0,1,1670
88,176,177,23,31,16445965,0,1,2652
89,178,179,23,33,17765025,0,1,3622
90,180,181,23,40,17058442,0,1,1095
91,182,183,23,45,17547701,0,1,1295
92,184,185,24,30,20324294,0,1,1287
93,186,187,24,37,16264431,0,1,1564
94,188,189,25,39,18129167,0,1,442
95,190,191,26,45,18488891,0,1,3828
96,192,193,26,46,19545600,0,1,7075
97,194,195,27,35,15724667,0,1,2786
98,196,197,27,47,20006766,0,1,2392
99,198,199,29,30,18782598,0,1,4854
100,200,201,29,38,19573690,0,1,3006
101,202,203,29,43,18128973,0,1,4839
102,204,205,30,31,15049707,0,1,1788
103,206,207,30,42,16834855,0,1,2261
104,208,209,30,47,19471985,0,1,5752
105,210,211,31,33,18066230,0,1,7761
106,212,213,31,39,17912335,0,1,1991
107,214,215,31,40,21224755,0,1,6601
108,216,217,32,45,21963341,0,1,4229
109,218,219,33,40,17933279,0,1,5038
110,220,221,34,44,21479229,0,1,2317
111,222,223,34,49,14411571,0,1,2640
112,224,225,35,40,14311696,0,1,1244
113,226,227,35,49,19560699,0,1,1733
114,228,229,38,45,17528470,0,1,2662
115,230,231,39,42,19042147,0,1,3437
116,232,233,39,48,18929794,0,1,1299
117,234,235,40,47,17839073,0,1,2332
118,236,237,41,45,19227833,0,1,1036
119,238,239,42,46,18271299,0,1,3244
120,240,241,43,45,15242143,0,1,1453
121,242,243,44,47,18393963,0,1,2369
122,244,245,46,47,18334193,0,1,677
123,246,247,46,48,21298997,0,1,2288
