channel_id,life_time,error,count
0,1.137,0.0,1
1,2.226,0.0,1
2,7.211,0.0,1
3,0.515,0.0,1
4,2.011,0.0,1
5,0.729,0.0,1
6,2.071,0.0,1
7,5.653,0.0,1
8,4.517,0.0,1
9,5.009,0.0,1
10,0.833,0.0,1
11,0.587,0.0,1
12,0.809,0.0,1
13,9.313,0.0,1
14,24.977,0.0,1
15,0.681,0.0,1
16,3.196,0.0,1
17,14.205,0.0,1
18,0.716,0.0,1
19,1.582,0.0,1
20,1.189,0.0,1
21,0.786,0.0,1
22,1.415,0.0,1
23,60.186,0.0,1
24,1.364,0.0,1
25,1.763,0.0,1
26,0.211,0.0,1
27,0.721,0.0,1
28,3.533,0.0,1
29,4.685,0.0,1
30,0.113,0.0,1
31,0.351,0.0,1
32,0.714,0.0,1
33,8.45,0.0,1
34,1.04,0.0,1
35,1.509,0.0,1
36,2.096,0.0,1
37,1.578,0.0,1
38,0.666,0.0,1
39,0.64,0.0,1
40,0.405,0.0,1
41,0.809,0.0,1
42,0.702,0.0,1
43,0.568,0.0,1
44,2.988,0.0,1
45,0.639,0.0,1
46,1.016,0.0,1
47,0.925,0.0,1
48,1.234,0.0,1
49,1.91,0.0,1
50,0.913,0.0,1
51,0.576,0.0,1
52,1.302,0.0,1
53,3.267,0.0,1
54,0.595,0.0,1
55,2.065,0.0,1
56,0.617,0.0,1
57,1.366,0.0,1
58,7.051,0.0,1
59,2.548,0.0,1
60,0.894,0.0,1
61,1.608,0.0,1
62,1.502,0.0,1
63,1.2,0.0,1
64,1.478,0.0,1
65,4.257,0.0,1
66,4.008,0.0,1
67,5.236,0.0,1
68,2.531,0.0,1
69,1.831,0.0,1
70,1.865,0.0,1
71,1.318,0.0,1
72,2.464,0.0,1
73,1.735,0.0,1
74,7.919,0.0,1
75,5.787,0.0,1
76,2.132,0.0,1
77,2.116,0.0,1
78,2.778,0.0,1
79,6.201,0.0,1
80,1.63,0.0,1
81,1.276,0.0,1
82,2.362,0.0,1
83,9.731,0.0,1
84,3.432,0.0,1
85,10.27,0.0,1
86,0.581,0.0,1
87,2.035,0.0,1
88,1.111,0.0,1
89,39.356,0.0,1
90,1.767,0.0,1
91,1.143,0.0,1
92,0.744,0.0,1
93,0.975,0.0,1
94,3.368,0.0,1
95,3.545,0.0,1
96,3.057,0.0,1
97,2.001,0.0,1
98,2.097,0.0,1
99,0.884,0.0,1
100,1.275,0.0,1
101,3.018,0.0,1
102,2.71,0.0,1
103,1.447,0.0,1
104,1.833,0.0,1
105,5.641,0.0,1
106,1.401,0.0,1
107,1.029,0.0,1
108,3.354,0.0,1
109,3.559,0.0,1
110,2.699,0.0,1
111,2.269,0.0,1
112,1.016,0.0,1
113,2.663,0.0,1
114,5.011,0.0,1
115,11.222,0.0,1
116,2.354,0.0,1
117,1.402,0.0,1
118,2.391,0.0,1
119,0.817,0.0,1
120,1.696,0.0,1
121,1.0,0.0,1
122,0.695,0.0,1
123,1.858,0.0,1
