id,edge1_id,edge2_id,node1_id,node2_id,capacity
0,0,1,0,9,17889778
1,2,3,0,10,17628987
2,4,5,0,14,16388712
3,6,7,0,20,18329310
4,8,9,0,21,21681607
5,10,11,0,27,18057043
6,12,13,0,36,18935677
7,14,15,0,57,16422523
8,16,17,0,72,17150858
9,18,19,0,73,19452488
10,20,21,0,92,16784919
11,22,23,1,3,15148793
12,24,25,1,15,18844519
13,26,27,1,26,18008615
14,28,29,1,27,19724521
15,30,31,1,28,19468282
16,32,33,1,34,18549138
17,34,35,1,43,19966646
18,36,37,1,53,16296407
19,38,39,1,54,15755214
20,40,41,1,71,19018628
21,42,43,1,82,14330187
22,44,45,1,84,18290747
23,46,47,2,9,18025247
24,48,49,2,26,19493778
25,50,51,2,43,15987044
26,52,53,2,44,19395855
27,54,55,2,54,17343004
28,56,57,2,63,20867489
29,58,59,2,65,17870231
30,60,61,2,68,14521184
31,62,63,2,86,17733486
32,64,65,2,87,16137428
33,66,67,2,93,19677105
34,68,69,3,12,20655201
35,70,71,3,31,19038918
36,72,73,3,33,15373044
37,74,75,3,35,18435401
38,76,77,3,36,18609711
39,78,79,3,45,16091883
40,80,81,3,59,19111780
41,82,83,3,73,18867459
42,84,85,3,83,19079158
43,86,87,3,87,19824610
44,88,89,3,97,18841527
45,90,91,4,19,15965037
46,92,93,4,20,16315779
47,94,95,4,42,19176718
48,96,97,4,49,19302808
49,98,99,4,79,17473893
50,100,101,4,82,18332128
51,102,103,5,24,20199867
52,104,105,5,35,18704522
53,106,107,5,52,18137672
54,108,109,5,84,17863188
55,110,111,5,90,18513982
56,112,113,6,8,12727261
57,114,115,6,30,21269198
58,116,117,6,59,15348831
59,118,119,6,61,19390112
60,120,121,6,65,17653320
61,122,123,6,74,20380525
62,124,125,6,89,18127187
63,126,127,7,9,17748585
64,128,129,7,12,18532289
65,130,131,7,18,17888265
66,132,133,7,19,18845439
67,134,135,7,21,17577200
68,136,137,7,24,15012815
69,138,139,7,25,15076786
70,140,141,7,36,14643031
71,142,143,7,43,17669854
72,144,145,7,60,21723756
73,146,147,7,61,15931356
74,148,149,7,66,20146994
75,150,151,7,73,19758678
76,152,153,7,75,15696947
77,154,155,7,77,18916253
78,156,157,7,78,19197355
79,158,159,8,18,13723200
80,160,161,8,21,20471775
81,162,163,8,35,16297451
82,164,165,8,67,19342106
83,166,167,8,68,19156387
84,168,169,8,75,17005364
85,170,171,8,76,21667571
86,172,173,8,81,15699533
87,174,175,9,18,17600233
88,176,177,9,24,15755086
89,178,179,9,69,19910302
90,180,181,9,87,19786996
91,182,183,9,91,16350045
92,184,185,9,98,19488080
93,186,187,10,29,17286661
94,188,189,10,53,21390812
95,190,191,10,88,20088717
96,192,193,11,12,17005856
97,194,195,11,22,18562643
98,196,197,11,23,17293127
99,198,199,11,26,18659121
100,200,201,11,33,19112816
101,202,203,11,39,15911035
102,204,205,11,40,16021270
103,206,207,11,45,17092654
104,208,209,11,46,20503340
105,210,211,11,73,20102971
106,212,213,11,92,14945026
107,214,215,12,27,18927294
108,216,217,12,41,17648734
109,218,219,12,43,22335223
110,220,221,12,45,12402004
111,222,223,12,46,17823913
112,224,225,12,71,19440592
113,226,227,12,80,20511298
114,228,229,12,89,16444844
115,230,231,12,95,15552079
116,232,233,13,28,18272740
117,234,235,13,29,16335091
118,236,237,13,39,20233361
119,238,239,13,46,17937915
120,240,241,13,77,19702447
121,242,243,14,37,17380556
122,244,245,14,39,17970839
123,246,247,14,46,17998108
124,248,249,14,58,20640155
125,250,251,14,68,19115561
126,252,253,14,89,17543178
127,254,255,15,22,19604229
128,256,257,15,27,17867460
129,258,259,15,33,18820227
130,260,261,15,35,19041107
131,262,263,15,48,16878060
132,264,265,15,56,16366516
133,266,267,15,88,14714749
134,268,269,16,18,19823155
135,270,271,16,31,18648225
136,272,273,16,32,17121855
137,274,275,16,40,19664612
138,276,277,16,44,18482799
139,278,279,16,56,17856195
140,280,281,16,64,18497370
141,282,283,16,68,18006381
142,284,285,16,81,19459058
143,286,287,16,88,18153598
144,288,289,16,90,16519998
145,290,291,16,93,14312330
146,292,293,16,95,19360108
147,294,295,16,97,20146188
148,296,297,17,30,18364601
149,298,299,17,31,19170646
150,300,301,17,39,19572412
151,302,303,17,63,19179241
152,304,305,17,77,20441561
153,306,307,17,81,20139069
154,308,309,17,87,18456492
155,310,311,18,27,18225939
156,312,313,18,40,14390235
157,314,315,18,45,16886060
158,316,317,18,56,17951615
159,318,319,18,58,14468547
160,320,321,18,74,16683159
161,322,323,18,75,19230136
162,324,325,18,76,14894807
163,326,327,18,79,18372502
164,328,329,18,80,14921953
165,330,331,18,83,18599349
166,332,333,18,84,19212108
167,334,335,18,98,15627726
168,336,337,19,25,20798031
169,338,339,19,31,16271803
170,340,341,19,49,18809211
171,342,343,19,66,19236430
172,344,345,19,78,18008237
173,346,347,19,88,16072498
174,348,349,20,22,18215988
175,350,351,20,39,17273419
176,352,353,20,49,19785122
177,354,355,20,52,15922241
178,356,357,20,53,14235611
179,358,359,20,72,18708254
180,360,361,20,79,16310276
181,362,363,20,84,14369276
182,364,365,20,92,19373643
183,366,367,20,95,17447085
184,368,369,20,96,20752065
185,370,371,21,22,15760929
186,372,373,21,32,17722054
187,374,375,21,33,18954512
188,376,377,21,36,18638998
189,378,379,21,47,18419621
190,380,381,21,71,19372602
191,382,383,21,79,17382179
192,384,385,21,85,15325427
193,386,387,21,92,18786675
194,388,389,22,26,17234091
195,390,391,22,29,15665189
196,392,393,22,53,17024110
197,394,395,22,64,15555171
198,396,397,22,66,17941218
199,398,399,22,72,17591324
200,400,401,22,85,17138227
201,402,403,22,92,17741695
202,404,405,23,38,16465194
203,406,407,23,43,22404443
204,408,409,23,99,17458709
205,410,411,24,31,17377966
206,412,413,24,65,15838152
207,414,415,24,73,17082088
208,416,417,24,80,18208595
209,418,419,24,82,18509328
210,420,421,25,30,17935655
211,422,423,25,32,18101204
212,424,425,25,37,18637813
213,426,427,25,40,17252006
214,428,429,25,50,16659087
215,430,431,25,61,18803220
216,432,433,25,65,16763564
217,434,435,25,66,15762501
218,436,437,25,72,17989503
219,438,439,25,84,18390591
220,440,441,25,88,14413870
221,442,443,25,93,15263435
222,444,445,26,29,17203401
223,446,447,26,56,14982500
224,448,449,26,79,15981716
225,450,451,26,81,19455011
226,452,453,26,98,18255661
227,454,455,27,28,18944848
228,456,457,27,35,18902577
229,458,459,27,46,18822204
230,460,461,27,54,19945893
231,462,463,27,78,18054517
232,464,465,27,87,15157037
233,466,467,27,98,14468165
234,468,469,28,58,19664447
235,470,471,28,68,17647187
236,472,473,28,76,19459423
237,474,475,28,79,14297215
238,476,477,28,82,21340783
239,478,479,28,85,15611165
240,480,481,28,86,17067461
241,482,483,28,87,18995525
242,484,485,29,37,17783044
243,486,487,29,54,16380207
244,488,489,29,64,19803515
245,490,491,29,65,17445705
246,492,493,29,70,19156452
247,494,495,29,82,19290273
248,496,497,29,83,17791892
249,498,499,29,86,14138033
250,500,501,29,87,16133346
251,502,503,29,98,17303177
252,504,505,30,31,16992235
253,506,507,30,36,18133736
254,508,509,30,38,16299354
255,510,511,30,41,16792526
256,512,513,30,44,19144683
257,514,515,30,57,21461880
258,516,517,30,58,14933771
259,518,519,30,67,16879080
260,520,521,30,73,16100587
261,522,523,30,78,18418619
262,524,525,30,84,17734654
263,526,527,30,86,17002352
264,528,529,30,89,16647822
265,530,531,30,92,18759268
266,532,533,31,35,18689595
267,534,535,31,54,17783087
268,536,537,31,57,17736242
269,538,539,31,81,16596326
270,540,541,31,82,17623305
271,542,543,31,99,15685818
272,544,545,32,33,18012028
273,546,547,32,34,17139431
274,548,549,32,39,19885350
275,550,551,32,46,15849360
276,552,553,32,53,16610983
277,554,555,32,71,17542824
278,556,557,32,94,18283696
279,558,559,33,36,17575242
280,560,561,33,42,18360509
281,562,563,33,46,16881834
282,564,565,33,47,21181747
283,566,567,33,57,17823844
284,568,569,33,67,20092590
285,570,571,33,70,18132732
286,572,573,33,92,17396188
287,574,575,33,93,19992960
288,576,577,34,38,18140298
289,578,579,34,45,15681201
290,580,581,34,46,17866186
291,582,583,34,62,18751994
292,584,585,34,78,19679900
293,586,587,34,87,17391463
294,588,589,34,94,19294202
295,590,591,35,68,13944882
296,592,593,35,76,18811522
297,594,595,35,77,18512374
298,596,597,35,79,18427291
299,598,599,35,80,17118659
300,600,601,35,82,19256342
301,602,603,36,42,15905269
302,604,605,36,43,19711311
303,606,607,36,45,15724152
304,608,609,36,46,19965407
305,610,611,36,48,20183102
306,612,613,36,65,18438676
307,614,615,36,84,15830268
308,616,617,36,97,16422087
309,618,619,37,56,15138173
310,620,621,37,57,16104527
311,622,623,37,63,19162406
312,624,625,37,81,19357934
313,626,627,37,88,17507059
314,628,629,37,98,18013849
315,630,631,38,52,18733085
316,632,633,38,78,17186203
317,634,635,38,89,15462285
318,636,637,38,95,15422650
319,638,639,38,96,17271879
320,640,641,39,47,16976385
321,642,643,39,61,15043919
322,644,645,39,70,18045547
323,646,647,39,77,18143534
324,648,649,39,83,17959463
325,650,651,39,87,16608398
326,652,653,39,89,17193875
327,654,655,39,91,18731323
328,656,657,39,93,18881499
329,658,659,39,96,15129200
330,660,661,40,45,13903831
331,662,663,40,46,18226315
332,664,665,40,51,19549147
333,666,667,40,56,14519373
334,668,669,40,76,14910355
335,670,671,41,45,18241303
336,672,673,41,50,18192701
337,674,675,41,52,14947644
338,676,677,41,66,16060903
339,678,679,41,74,17748993
340,680,681,41,82,16406900
341,682,683,41,97,16117607
342,684,685,42,43,18772632
343,686,687,42,51,16678341
344,688,689,42,59,15875197
345,690,691,42,73,17273344
346,692,693,42,92,18515738
347,694,695,43,52,17820289
348,696,697,43,58,18443285
349,698,699,43,64,20600978
350,700,701,43,73,16018668
351,702,703,43,83,18132158
352,704,705,43,89,19036522
353,706,707,43,99,19726097
354,708,709,44,48,17454477
355,710,711,44,70,19531857
356,712,713,44,87,15221514
357,714,715,44,89,17159495
358,716,717,44,94,13717249
359,718,719,45,51,17798869
360,720,721,45,52,17187766
361,722,723,45,56,16911711
362,724,725,45,64,17683530
363,726,727,45,77,16005695
364,728,729,46,48,16363543
365,730,731,46,51,17833136
366,732,733,46,54,18199561
367,734,735,46,66,17794201
368,736,737,46,71,18798807
369,738,739,46,73,17345745
370,740,741,46,85,19088691
371,742,743,47,56,17929613
372,744,745,47,64,15872308
373,746,747,47,80,16473338
374,748,749,47,90,17522501
375,750,751,48,50,12973865
376,752,753,48,69,18971654
377,754,755,48,70,21392406
378,756,757,48,75,19953905
379,758,759,48,79,21294144
380,760,761,48,80,18316044
381,762,763,48,82,14980794
382,764,765,49,60,17958908
383,766,767,49,61,19382139
384,768,769,49,76,16811354
385,770,771,49,95,20617198
386,772,773,50,73,17958673
387,774,775,50,88,16082672
388,776,777,50,91,18970068
389,778,779,51,60,17099613
