id,edge1_id,edge2_id,node1_id,node2_id,capacity
0,0,1,0,1,105875978
1,2,3,0,4,96336585
2,4,5,0,5,114427894
3,6,7,0,6,127857498
4,8,9,0,9,117901359
5,10,11,1,2,108312130
6,12,13,1,4,138931386
7,14,15,1,6,108479385
8,16,17,1,7,119818799
9,18,19,1,9,87146218
10,20,21,2,5,121630312
11,22,23,2,6,135319184
12,24,25,2,9,109073526
13,26,27,3,4,134205039
14,28,29,3,5,96719227
15,30,31,3,6,113542079
16,32,33,3,7,116032782
17,34,35,3,8,121783747
18,36,37,3,9,131493883
19,38,39,4,5,126045863
20,40,41,4,6,108402576
21,42,43,4,7,114029408
22,44,45,4,8,101013498
23,46,47,4,9,115311108
24,48,49,5,6,117207295
25,50,51,6,7,116264393
26,52,53,7,8,100565449
27,54,55,7,9,132213679
