id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock
0,0,1,0,1,52937989,0,0,100,140
1,0,0,1,0,52937989,0,0,100,140
2,1,3,0,4,48168292,0,0,100,140
3,1,2,4,0,48168292,0,0,100,140
4,2,5,0,5,57213947,0,0,100,140
5,2,4,5,0,57213947,0,0,100,140
6,3,7,0,6,63928749,0,0,100,140
7,3,6,6,0,63928749,0,0,100,140
8,4,9,0,9,58950679,0,0,100,140
9,4,8,9,0,58950679,0,0,100,140
10,5,11,1,2,54156065,0,0,100,140
11,5,10,2,1,54156065,0,0,100,140
12,6,13,1,4,69465693,0,0,100,140
13,6,12,4,1,69465693,0,0,100,140
14,7,15,1,6,54239692,0,0,100,140
15,7,14,6,1,54239692,0,0,100,140
16,8,17,1,7,59909399,0,0,100,140
17,8,16,7,1,59909399,0,0,100,140
18,9,19,1,9,43573109,0,0,100,140
19,9,18,9,1,43573109,0,0,100,140
20,10,21,2,5,60815156,0,0,100,140
21,10,20,5,2,60815156,0,0,100,140
22,11,23,2,6,67659592,0,0,100,140
23,11,22,6,2,67659592,0,0,100,140
24,12,25,2,9,54536763,0,0,100,140
25,12,24,9,2,54536763,0,0,100,140
26,13,27,3,4,67102519,0,0,100,140
27,13,26,4,3,67102519,0,0,100,140
28,14,29,3,5,48359613,0,0,100,140
29,14,28,5,3,48359613,0,0,100,140
30,15,31,3,6,56771039,0,0,100,140
31,15,30,6,3,56771039,0,0,100,140
32,16,33,3,7,58016391,0,0,100,140
33,16,32,7,3,58016391,0,0,100,140
34,17,35,3,8,60891873,0,0,100,140
35,17,34,8,3,60891873,0,0,100,140
36,18,37,3,9,65746941,0,0,100,140
37,18,36,9,3,65746941,0,0,100,140
38,19,39,4,5,63022931,0,0,100,140
39,19,38,5,4,63022931,0,0,100,140
40,20,41,4,6,54201288,0,0,100,140
41,20,40,6,4,54201288,0,0,100,140
42,21,43,4,7,57014704,0,0,100,140
43,21,42,7,4,57014704,0,0,100,140
44,22,45,4,8,50506749,0,0,100,140
45,22,44,8,4,50506749,0,0,100,140
46,23,47,4,9,57655554,0,0,100,140
47,23,46,9,4,57655554,0,0,100,140
48,24,49,5,6,58603647,0,0,100,140
49,24,48,6,5,58603647,0,0,100,140
50,25,51,6,7,58132196,0,0,100,140
51,25,50,7,6,58132196,0,0,100,140
52,26,53,7,8,50282724,0,0,100,140
53,26,52,8,7,50282724,0,0,100,140
54,27,55,7,9,66106839,0,0,100,140
55,27,54,9,7,66106839,0,0,100,140
