channel_id,life_time
0,72062.50318364883
1,41763.31924258001
2,73652.3039546732
3,95952.95096959568
4,72176.86966524342
5,57801.27237932414
6,92402.85645900478
7,79432.494547353
8,66374.43562203164
9,60308.97335764563
10,65696.74104027438
11,78228.57627808515
12,46419.063583809584
13,135082.44369743642
14,38038.31920630924
15,59602.517123003505
16,95662.46722731765
17,67642.66687512168
18,72491.81897411145
19,66609.33364040354
20,71459.5042911635
21,92387.64710484805
22,28227.522849517634
23,71232.06229386249
24,97608.90790338413
25,60425.5041640361
26,46125.34753030967
27,90071.05662162331
