id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
0,0,1,0,1,85317877,0,0,100,140,0,91
1,0,0,1,0,31317877,0,0,100,140,0,118
2,1,3,0,2,52041255,0,0,100,140,0,101
3,1,2,2,0,64041255,0,0,100,140,0,95
4,2,5,0,3,53456018,0,0,100,140,0,98
5,2,4,3,0,61456018,0,0,100,140,0,94
6,3,7,0,4,79300624,0,0,100,140,0,102
7,3,6,4,0,29300624,0,0,100,140,0,127
8,4,9,0,5,51427960,0,0,100,140,0,94
9,4,8,5,0,61427960,0,0,100,140,0,89
10,5,11,0,6,55380647,0,0,100,140,0,107
11,5,10,6,0,55380647,0,0,100,140,0,107
12,6,13,0,7,70531859,0,0,100,140,0,103
13,6,12,7,0,52531859,0,0,100,140,0,112
14,7,15,0,8,79646663,0,0,100,140,0,98
15,7,14,8,0,57646663,0,0,100,140,0,109
16,8,17,0,9,57453471,0,0,100,140,0,97
17,8,16,9,0,75453471,0,0,100,140,0,88
18,9,19,0,10,74959880,0,0,100,140,0,91
19,9,18,10,0,52959880,0,0,100,140,0,102
20,10,21,0,11,46784047,0,0,100,140,0,98
21,10,20,11,0,64784047,0,0,100,140,0,89
22,11,23,0,12,58058016,0,0,100,140,0,105
23,11,22,12,0,64058016,0,0,100,140,0,102
24,12,25,0,13,80280255,0,0,100,140,0,103
25,12,24,13,0,46280255,0,0,100,140,0,120
26,13,27,0,14,51978315,0,0,100,140,0,111
27,13,26,14,0,59978315,0,0,100,140,0,107
28,14,29,0,15,73055877,0,0,100,140,0,109
29,14,28,15,0,61055877,0,0,100,140,0,115
30,15,31,0,16,47491176,0,0,100,140,0,103
31,15,30,16,0,73491176,0,0,100,140,0,90
32,16,33,0,17,78011724,0,0,100,140,0,91
33,16,32,17,0,36011724,0,0,100,140,0,112
34,17,35,0,18,48506416,0,0,100,140,0,125
35,17,34,18,0,88506416,0,0,100,140,0,105
36,18,37,0,19,65134943,0,0,100,140,0,100
37,18,36,19,0,55134943,0,0,100,140,0,105
38,19,39,0,20,16305878,0,0,100,140,0,132
39,19,38,20,0,100305878,0,0,100,140,0,90
40,20,41,0,21,77639944,0,0,100,140,0,100
