id,edge1_id,edge2_id,node1_id,node2_id,capacity
0,0,1,0,1,20396855
1,2,3,0,2,19287502
2,4,5,0,3,15218279
3,6,7,0,4,17984909
4,8,9,0,7,19118404
5,10,11,0,8,16703845
6,12,13,0,9,18477920
7,14,15,1,2,18195387
8,16,17,1,3,18007724
9,18,19,1,6,17685719
10,20,21,1,8,18779447
11,22,23,1,9,20165467
12,24,25,2,3,16262881
13,26,27,2,4,19850893
14,28,29,2,5,18411534
15,30,31,2,6,18801247
16,32,33,2,7,15954116
17,34,35,2,8,18243246
18,36,37,3,6,20672166
19,38,39,3,7,16056351
20,40,41,3,8,14440089
21,42,43,3,9,14861929
22,44,45,4,6,18478926
23,46,47,4,7,22292941
24,48,49,4,9,20022644
25,50,51,5,6,21010719
26,52,53,5,7,18178468
27,54,55,5,8,20516393
28,56,57,5,9,17511753
29,58,59,6,8,19103767
30,60,61,6,9,17518829
31,62,63,7,8,17011243
32,64,65,7,9,18238874
33,66,67,8,9,17142944
