id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock
0,0,1,0,1,10198427,0,0,100,140
1,0,0,1,0,10198427,0,0,100,140
2,1,3,0,2,9643751,0,0,100,140
3,1,2,2,0,9643751,0,0,100,140
4,2,5,0,3,7609139,0,0,100,140
5,2,4,3,0,7609139,0,0,100,140
6,3,7,0,4,8992454,0,0,100,140
7,3,6,4,0,8992454,0,0,100,140
8,4,9,0,7,9559202,0,0,100,140
9,4,8,7,0,9559202,0,0,100,140
10,5,11,0,8,8351922,0,0,100,140
11,5,10,8,0,8351922,0,0,100,140
12,6,13,0,9,9238960,0,0,100,140
13,6,12,9,0,9238960,0,0,100,140
14,7,15,1,2,9097693,0,0,100,140
15,7,14,2,1,9097693,0,0,100,140
16,8,17,1,3,9003862,0,0,100,140
17,8,16,3,1,9003862,0,0,100,140
18,9,19,1,6,8842859,0,0,100,140
19,9,18,6,1,8842859,0,0,100,140
20,10,21,1,8,9389723,0,0,100,140
21,10,20,8,1,9389723,0,0,100,140
22,11,23,1,9,10082733,0,0,100,140
23,11,22,9,1,10082733,0,0,100,140
24,12,25,2,3,8131440,0,0,100,140
25,12,24,3,2,8131440,0,0,100,140
26,13,27,2,4,9925446,0,0,100,140
27,13,26,4,2,9925446,0,0,100,140
28,14,29,2,5,9205767,0,0,100,140
29,14,28,5,2,9205767,0,0,100,140
30,15,31,2,6,9400623,0,0,100,140
31,15,30,6,2,9400623,0,0,100,140
32,16,33,2,7,7977058,0,0,100,140
33,16,32,7,2,7977058,0,0,100,140
34,17,35,2,8,9121623,0,0,100,140
35,17,34,8,2,9121623,0,0,100,140
36,18,37,3,6,10336083,0,0,100,140
37,18,36,6,3,10336083,0,0,100,140
38,19,39,3,7,8028175,0,0,100,140
39,19,38,7,3,8028175,0,0,100,140
40,20,41,3,8,7220044,0,0,100,140
41,20,40,8,3,7220044,0,0,100,140
42,21,43,3,9,7430964,0,0,100,140
43,21,42,9,3,7430964,0,0,100,140
44,22,45,4,6,9239463,0,0,100,140
45,22,44,6,4,9239463,0,0,100,140
46,23,47,4,7,11146470,0,0,100,140
47,23,46,7,4,11146470,0,0,100,140
48,24,49,4,9,10011322,0,0,100,140
49,24,48,9,4,10011322,0,0,100,140
50,25,51,5,6,10505359,0,0,100,140
51,25,50,6,5,10505359,0,0,100,140
52,26,53,5,7,9089234,0,0,100,140
53,26,52,7,5,9089234,0,0,100,140
54,27,55,5,8,10258196,0,0,100,140
55,27,54,8,5,10258196,0,0,100,140
56,28,57,5,9,8755876,0,0,100,140
57,28,56,9,5,8755876,0,0,100,140
58,29,59,6,8,9551883,0,0,100,140
59,29,58,8,6,9551883,0,0,100,140
60,30,61,6,9,8759414,0,0,100,140
61,30,60,9,6,8759414,0,0,100,140
62,31,63,7,8,8505621,0,0,100,140
63,31,62,8,7,8505621,0,0,100,140
64,32,65,7,9,9119437,0,0,100,140
65,32,64,9,7,9119437,0,0,100,140
66,33,67,8,9,8571472,0,0,100,140
67,33,66,9,8,8571472,0,0,100,140
