id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock
0,0,1,0,1,60571550,0,0,100,140
1,0,0,1,0,60571550,0,0,100,140
2,1,3,0,2,69083833,0,0,100,140
3,1,2,2,0,69083833,0,0,100,140
4,2,5,0,3,68348976,0,0,100,140
5,2,4,3,0,68348976,0,0,100,140
6,3,7,0,4,61406987,0,0,100,140
7,3,6,4,0,61406987,0,0,100,140
8,4,9,0,5,55464021,0,0,100,140
9,4,8,5,0,55464021,0,0,100,140
10,5,11,0,6,61329984,0,0,100,140
11,5,10,6,0,61329984,0,0,100,140
12,6,13,0,7,58388807,0,0,100,140
13,6,12,7,0,58388807,0,0,100,140
14,7,15,0,8,73842169,0,0,100,140
15,7,14,8,0,73842169,0,0,100,140
16,8,17,0,9,55590729,0,0,100,140
17,8,16,9,0,55590729,0,0,100,140
18,9,19,0,10,41489115,0,0,100,140
19,9,18,10,0,41489115,0,0,100,140
20,10,21,0,11,65811953,0,0,100,140
21,10,20,11,0,65811953,0,0,100,140
22,11,23,0,12,54718409,0,0,100,140
23,11,22,12,0,54718409,0,0,100,140
24,12,25,0,13,48720167,0,0,100,140
25,12,24,13,0,48720167,0,0,100,140
26,13,27,0,14,51855060,0,0,100,140
27,13,26,14,0,51855060,0,0,100,140
28,14,29,0,15,55483169,0,0,100,140
29,14,28,15,0,55483169,0,0,100,140
30,15,31,0,16,54609772,0,0,100,140
31,15,30,16,0,54609772,0,0,100,140
32,16,33,0,17,58229876,0,0,100,140
33,16,32,17,0,58229876,0,0,100,140
34,17,35,0,18,65318863,0,0,100,140
35,17,34,18,0,65318863,0,0,100,140
36,18,37,0,19,59809916,0,0,100,140
37,18,36,19,0,59809916,0,0,100,140
38,19,39,0,20,61383698,0,0,100,140
39,19,38,20,0,61383698,0,0,100,140
40,20,41,0,21,53144940,0,0,100,140
41,20,40,21,0,53144940,0,0,100,140
42,21,43,0,22,62454701,0,0,100,140
43,21,42,22,0,62454701,0,0,100,140
44,22,45,0,23,62984897,0,0,100,140
45,22,44,23,0,62984897,0,0,100,140
46,23,47,0,24,58641150,0,0,100,140
47,23,46,24,0,58641150,0,0,100,140
48,24,49,0,25,64668366,0,0,100,140
49,24,48,25,0,64668366,0,0,100,140
50,25,51,0,26,66038716,0,0,100,140
51,25,50,26,0,66038716,0,0,100,140
52,26,53,0,27,56540366,0,0,100,140
53,26,52,27,0,56540366,0,0,100,140
54,27,55,0,28,73980328,0,0,100,140
55,27,54,28,0,73980328,0,0,100,140
56,28,57,0,29,68223839,0,0,100,140
57,28,56,29,0,68223839,0,0,100,140
58,29,59,0,30,63286684,0,0,100,140
59,29,58,30,0,63286684,0,0,100,140
60,30,61,0,31,57521943,0,0,100,140
61,30,60,31,0,57521943,0,0,100,140
62,31,63,0,32,68015410,0,0,100,140
63,31,62,32,0,68015410,0,0,100,140
