id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
0,0,1,0,1,2937989,0,0,100,140,0,44239
1,0,0,1,0,102937989,0,0,100,140,0,43885
2,1,3,0,4,8168292,0,0,100,140,0,31378
3,1,2,4,0,88168292,0,0,100,140,0,27833
4,2,5,0,5,92213947,0,0,100,140,0,39147
5,2,4,5,0,22213947,0,0,100,140,0,41651
6,3,7,0,6,1928749,0,0,100,140,0,24818
7,3,6,6,0,125928749,0,0,100,140,0,25746
8,4,9,0,9,1950679,0,0,100,140,0,32974
9,4,8,9,0,115950679,0,0,100,140,0,35815
10,5,11,1,2,82156065,0,0,100,140,0,41176
11,5,10,2,1,26156065,0,0,100,140,0,41497
12,6,13,1,4,137465693,0,0,100,140,0,36104
13,6,12,4,1,1465693,0,0,100,140,0,32658
14,7,15,1,6,103239692,0,0,100,140,0,20370
15,7,14,6,1,5239692,0,0,100,140,0,20360
16,8,17,1,7,66909399,0,0,100,140,0,41217
17,8,16,7,1,52909399,0,0,100,140,0,42220
18,9,19,1,9,26573109,0,0,100,140,0,14931
19,9,18,9,1,60573109,0,0,100,140,0,14939
20,10,21,2,5,43815156,0,0,100,140,0,21568
21,10,20,5,2,77815156,0,0,100,140,0,19032
22,11,23,2,6,25659592,0,0,100,140,0,27467
23,11,22,6,2,109659592,0,0,100,140,0,27347
24,12,25,2,9,4536763,0,0,100,140,0,21233
25,12,24,9,2,104536763,0,0,100,140,0,20557
26,13,27,3,4,82102519,0,0,100,140,0,30585
27,13,26,4,3,52102519,0,0,100,140,0,25357
28,14,29,3,5,359613,0,0,100,140,0,33289
29,14,28,5,3,96359613,0,0,100,140,0,38940
30,15,31,3,6,4771039,0,0,100,140,0,34978
31,15,30,6,3,108771039,0,0,100,140,0,37393
32,16,33,3,7,3016391,0,0,100,140,0,21416
33,16,32,7,3,113016391,0,0,100,140,0,24658
34,17,35,3,8,891873,0,0,100,140,0,40555
35,17,34,8,3,120891873,0,0,100,140,0,46068
36,18,37,3,9,63746941,0,0,100,140,0,21997
37,18,36,9,3,67746941,0,0,100,140,0,24371
38,19,39,4,5,126022931,0,0,100,140,0,18154
39,19,38,5,4,22931,0,0,100,140,0,24705
40,20,41,4,6,12201288,0,0,100,140,0,13154
41,20,40,6,4,96201288,0,0,100,140,0,13085
42,21,43,4,7,3014704,0,0,100,140,0,12216
43,21,42,7,4,111014704,0,0,100,140,0,12237
44,22,45,4,8,70506749,0,0,100,140,0,34032
45,22,44,8,4,30506749,0,0,100,140,0,40114
46,23,47,4,9,18655554,0,0,100,140,0,20542
47,23,46,9,4,96655554,0,0,100,140,0,20317
48,24,49,5,6,1603647,0,0,100,140,0,21538
49,24,48,6,5,115603647,0,0,100,140,0,21170
50,25,51,6,7,14132196,0,0,100,140,0,27658
51,25,50,7,6,102132196,0,0,100,140,0,27705
52,26,53,7,8,86282724,0,0,100,140,0,26728
53,26,52,8,7,14282724,0,0,100,140,0,27859
54,27,55,7,9,108106839,0,0,100,140,0,20157
55,27,54,9,7,24106839,0,0,100,140,0,20236
