id,sender_id,receiver_id,amount,start_time
0,0,2,1000000,1250
1,2,1,1000000,3244
2,2,1,1000000,4121
3,0,1,1000000,5033
4,1,0,1000000,6098
5,0,2,1000000,7496
6,2,0,1000000,7542
7,0,1,1000000,9825
8,2,0,1000000,9866
9,1,0,1000000,10258
10,2,1,1000000,10447
11,0,1,1000000,10557
12,2,1,1000000,10863
13,2,0,1000000,13365
14,0,1,1000000,15817
15,0,2,1000000,18049
16,0,2,1000000,18087
17,0,2,1000000,18522
18,2,1,1000000,19788
19,0,1,1000000,20897
20,2,0,1000000,21682
21,1,0,1000000,22765
22,1,2,1000000,24051
23,0,2,1000000,25578
24,2,1,1000000,26557
25,0,2,1000000,26647
26,2,1,1000000,28647
27,2,1,1000000,31105
28,1,0,1000000,32339
29,2,1,1000000,32711
30,0,1,1000000,33479
31,1,0,1000000,36539
32,0,2,1000000,36885
33,1,0,1000000,37564
34,0,2,1000000,38968
35,1,2,1000000,40911
36,2,0,1000000,42045
37,1,2,1000000,42416
38,1,2,1000000,43031
39,1,2,1000000,43049
40,2,1,1000000,43175
41,0,2,1000000,47139
42,0,1,1000000,47205
43,2,0,1000000,47918
44,0,2,1000000,49922
45,1,0,1000000,50125
46,1,0,1000000,50417
47,1,0,1000000,50961
48,0,2,1000000,52135
49,2,0,1000000,52568
50,2,1,1000000,52998
51,1,2,1000000,54081
52,0,2,1000000,54616
53,2,1,1000000,58575
54,2,1,1000000,58736
55,2,1,1000000,59138
56,0,2,1000000,61051
57,1,2,1000000,63225
58,0,1,1000000,63732
59,1,0,1000000,65485
60,1,0,1000000,67979
61,2,0,1000000,68605
62,2,1,1000000,70642
63,1,0,1000000,73777
64,2,1,1000000,74878
65,0,2,1000000,75556
66,0,2,1000000,75681
67,2,0,1000000,79383
68,1,0,1000000,79831
69,1,0,1000000,80594
70,2,0,1000000,81450
71,1,0,1000000,81545
72,2,0,1000000,81923
73,1,0,1000000,83876
74,1,0,1000000,87335
75,1,0,1000000,87947
76,1,0,1000000,88062
77,1,2,1000000,91018
78,1,2,1000000,91940
79,2,1,1000000,92631
80,1,0,1000000,94782
81,1,2,1000000,96009
82,1,0,1000000,97129
83,2,0,1000000,97797
84,1,2,1000000,98356
85,2,0,1000000,98357
86,1,0,1000000,99816
87,0,1,1000000,100692
88,0,1,1000000,101026
89,0,1,1000000,102228
90,1,2,1000000,102431
91,0,2,1000000,104603
92,2,0,1000000,104962
93,2,0,1000000,106369
94,2,0,1000000,106450
95,0,2,1000000,107451
96,0,1,1000000,107603
97,2,1,1000000,107633
98,1,2,1000000,107979
99,0,1,1000000,110760
100,1,2,1000000,112912
101,0,2,1000000,113760
102,0,1,1000000,115402
103,2,0,1000000,116566
104,2,0,1000000,116630
105,1,0,1000000,120155
106,2,1,1000000,120219
107,0,1,1000000,120736
108,2,0,1000000,120996
109,2,1,1000000,122731
110,0,1,1000000,122893
111,2,1,1000000,124855
112,1,0,1000000,126186
113,1,0,1000000,126429
114,1,0,1000000,126570
115,1,0,1000000,127678
116,1,2,1000000,127798
117,1,2,1000000,128910
118,0,2,1000000,129209
119,1,2,1000000,131024
120,0,1,1000000,131511
121,1,0,1000000,131977
122,2,0,1000000,132231
123,1,0,1000000,132474
124,2,0,1000000,133252
125,0,1,1000000,134074
126,1,2,1000000,134953
127,0,1,1000000,135023
128,1,0,1000000,135235
129,1,0,1000000,135656
130,1,2,1000000,136050
131,1,0,1000000,137418
132,1,2,1000000,137563
133,2,1,1000000,137584
134,2,0,1000000,138669
135,1,0,1000000,139280
136,2,1,1000000,140719
137,2,1,1000000,141081
138,0,1,1000000,141280
139,0,1,1000000,142103
140,0,1,1000000,142278
141,2,1,1000000,142545
142,1,0,1000000,142596
143,1,2,1000000,142674
144,0,1,1000000,142808
145,0,1,1000000,143419
146,0,1,1000000,143672
147,1,2,1000000,144422
148,2,0,1000000,144943
149,0,2,1000000,146543
150,0,2,1000000,146795
151,0,1,1000000,147549
152,0,1,1000000,147628
153,0,2,1000000,148183
154,1,2,1000000,148402
155,2,1,1000000,148923
156,2,0,1000000,149154
157,0,1,1000000,149997
158,1,2,1000000,150666
