id,sender_id,receiver_id,amount,start_time
0,7,9,30,84
1,9,3,30,96
2,2,9,30,104
3,8,7,30,104
4,6,5,30,109
5,3,9,30,112
6,4,3,30,113
7,5,6,30,113
8,7,8,30,116
9,9,7,30,120
10,3,4,30,121
11,0,7,30,126
12,9,2,30,128
13,7,0,30,129
14,6,9,30,139
15,9,6,30,140
16,7,9,30,177
17,6,5,30,204
18,3,4,30,210
19,8,7,30,214
20,9,3,30,217
21,3,9,30,221
22,2,9,30,221
23,5,6,30,222
24,9,7,30,231
25,4,3,30,234
26,6,9,30,242
27,9,6,30,246
28,7,8,30,248
29,7,9,30,250
30,9,2,30,254
31,0,7,30,254
32,7,0,30,256
33,6,5,30,306
34,8,7,30,312
35,3,9,30,321
36,6,9,30,322
37,4,3,30,323
38,3,4,30,323
39,7,9,30,324
40,9,3,30,324
41,9,7,30,324
42,5,6,30,342
43,2,9,30,346
44,7,0,30,360
45,7,8,30,364
46,9,6,30,371
47,0,7,30,383
48,9,2,30,384
49,9,3,30,403
50,6,5,30,409
51,7,9,30,413
52,8,7,30,423
53,3,9,30,427
54,9,7,30,427
55,3,4,30,433
56,4,3,30,435
57,2,9,30,446
58,6,9,30,451
59,7,8,30,455
60,7,0,30,461
61,5,6,30,464
62,9,6,30,476
63,7,9,30,496
64,0,7,30,510
65,9,3,30,512
66,6,5,30,515
67,8,7,30,518
68,3,9,30,523
69,4,3,30,528
70,9,7,30,530
71,9,2,30,538
72,3,4,30,544
73,6,9,30,555
74,7,8,30,561
75,2,9,30,565
76,5,6,30,565
77,7,0,30,581
78,9,6,30,588
79,6,5,30,602
80,7,9,30,608
81,9,3,30,618
82,3,9,30,619
83,4,3,30,630
84,0,7,30,637
85,8,7,30,637
86,9,7,30,650
87,3,4,30,654
88,9,2,30,668
89,2,9,30,670
90,6,9,30,674
91,7,8,30,674
92,5,6,30,682
93,7,9,30,690
94,6,5,30,695
95,7,0,30,706
96,3,9,30,722
97,8,7,30,728
98,9,6,30,730
99,9,3,30,734
100,4,3,30,747
101,0,7,30,766
102,7,9,30,769
103,2,9,30,775
104,9,7,30,776
105,3,4,30,783
106,7,8,30,788
107,9,2,30,792
108,6,5,30,798
109,5,6,30,803
110,6,9,30,810
111,7,0,30,813
112,3,9,30,824
113,9,3,30,840
114,8,7,30,843
115,9,6,30,854
116,7,9,30,868
117,0,7,30,871
118,4,3,30,881
119,2,9,30,885
120,6,5,30,891
121,9,7,30,895
122,3,4,30,897
123,7,8,30,903
124,5,6,30,906
125,3,9,30,909
126,9,2,30,924
127,6,9,30,927
128,7,0,30,935
129,8,7,30,943
130,9,3,30,964
131,7,9,30,970
132,9,6,30,970
133,6,5,30,971
134,2,9,30,984
135,4,3,30,992
136,7,8,30,1002
137,3,9,30,1007
138,5,6,30,1014
139,9,7,30,1017
140,0,7,30,1019
141,3,4,30,1021
142,6,9,30,1039
143,8,7,30,1048
144,9,2,30,1054
145,7,0,30,1059
146,7,9,30,1067
147,9,3,30,1067
148,6,5,30,1083
149,9,6,30,1092
150,4,3,30,1094
151,2,9,30,1102
152,7,8,30,1106
153,3,9,30,1121
154,5,6,30,1132
155,3,4,30,1135
156,8,7,30,1140
157,9,7,30,1141
158,7,9,30,1154
159,0,7,30,1154
160,6,9,30,1159
161,9,3,30,1166
162,6,5,30,1175
163,9,2,30,1177
164,7,0,30,1180
165,4,3,30,1194
166,9,6,30,1202
167,3,9,30,1209
168,2,9,30,1215
169,7,8,30,1231
170,9,7,30,1245
171,7,9,30,1246
172,8,7,30,1246
173,3,4,30,1249
174,5,6,30,1251
175,6,9,30,1262
176,9,3,30,1267
177,6,5,30,1281
178,0,7,30,1283
179,4,3,30,1307
180,3,9,30,1312
181,9,2,30,1313
182,9,6,30,1313
183,7,0,30,1321
184,2,9,30,1326
185,7,8,30,1343
186,8,7,30,1344
187,7,9,30,1349
188,9,3,30,1359
189,9,7,30,1361
190,5,6,30,1365
191,6,9,30,1373
192,3,4,30,1374
193,6,5,30,1381
194,0,7,30,1398
195,9,2,30,1408
196,3,9,30,1412
197,4,3,30,1417
198,2,9,30,1419
199,8,7,30,1426
200,7,0,30,1428
201,7,9,30,1439
202,7,8,30,1449
203,9,6,30,1457
204,9,3,30,1459
205,9,7,30,1465
206,6,5,30,1469
207,6,9,30,1474
208,5,6,30,1480
209,3,4,30,1486
210,3,9,30,1498
211,8,7,30,1509
212,4,3,30,1519
213,2,9,30,1520
214,9,2,30,1527
215,0,7,30,1532
216,7,9,30,1534
217,6,5,30,1550
218,7,8,30,1554
219,9,3,30,1561
220,7,0,30,1567
221,9,6,30,1568
222,3,9,30,1586
223,6,9,30,1588
224,9,7,30,1590
225,3,4,30,1594
226,5,6,30,1605
227,8,7,30,1610
228,7,9,30,1618
229,4,3,30,1629
230,2,9,30,1634
231,6,5,30,1644
232,9,3,30,1652
233,9,2,30,1664
234,7,8,30,1670
235,9,6,30,1673
236,6,9,30,1682
237,0,7,30,1684
238,7,0,30,1685
239,3,9,30,1689
240,8,7,30,1693
241,9,7,30,1695
242,7,9,30,1703
243,3,4,30,1704
244,5,6,30,1716
245,2,9,30,1725
246,4,3,30,1740
247,6,5,30,1741
248,9,3,30,1752
249,3,9,30,1772
250,7,8,30,1772
251,9,6,30,1779
252,8,7,30,1794
253,6,9,30,1795
254,7,9,30,1796
255,9,7,30,1796
256,0,7,30,1796
257,9,2,30,1803
258,3,4,30,1819
259,7,0,30,1824
260,2,9,30,1826
261,5,6,30,1832
262,6,5,30,1835
263,9,3,30,1839
264,3,9,30,1857
265,4,3,30,1867
266,8,7,30,1879
267,7,9,30,1884
268,9,6,30,1895
269,7,8,30,1902
270,6,9,30,1906
271,2,9,30,1916
272,0,7,30,1921
273,9,7,30,1922
274,9,2,30,1923
275,3,4,30,1932
276,7,0,30,1935
277,5,6,30,1942
278,9,3,30,1946
279,6,5,30,1961
280,4,3,30,1963
281,3,9,30,1965
282,7,9,30,1973
283,8,7,30,1978
284,6,9,30,2003
285,7,8,30,2005
286,2,9,30,2025
287,9,7,30,2041
288,9,2,30,2042
289,9,3,30,2043
290,3,4,30,2048
291,9,6,30,2048
292,6,5,30,2050
293,0,7,30,2051
294,5,6,30,2055
295,7,9,30,2056
296,7,0,30,2066
297,4,3,30,2067
298,8,7,30,2070
299,3,9,30,2071
300,7,8,30,2117
301,6,9,30,2131
302,9,3,30,2136
303,7,9,30,2137
304,9,7,30,2144
305,6,5,30,2148
306,2,9,30,2148
307,3,9,30,2167
308,8,7,30,2171
309,5,6,30,2172
310,4,3,30,2173
311,0,7,30,2175
312,3,4,30,2176
313,9,2,30,2181
314,7,0,30,2188
315,9,6,30,2194
316,6,9,30,2221
317,7,9,30,2227
318,7,8,30,2232
319,9,3,30,2233
320,6,5,30,2238
321,9,7,30,2249
322,2,9,30,2253
323,8,7,30,2262
324,3,9,30,2281
325,4,3,30,2284
326,5,6,30,2284
327,3,4,30,2301
328,0,7,30,2303
329,7,0,30,2315
330,9,3,30,2323
331,9,2,30,2323
332,7,9,30,2324
333,9,6,30,2324
334,6,5,30,2336
335,7,8,30,2338
336,9,7,30,2339
337,6,9,30,2349
338,2,9,30,2358
339,8,7,30,2365
340,3,9,30,2372
341,5,6,30,2387
342,4,3,30,2399
343,3,4,30,2419
344,9,3,30,2424
345,7,9,30,2427
346,6,5,30,2428
347,0,7,30,2438
348,7,0,30,2441
349,9,7,30,2444
350,6,9,30,2457
351,7,8,30,2461
352,9,2,30,2462
353,9,6,30,2467
354,3,9,30,2469
355,8,7,30,2471
356,2,9,30,2480
357,5,6,30,2494
358,9,3,30,2512
359,4,3,30,2518
360,7,9,30,2521
361,3,4,30,2527
362,6,5,30,2535
